TGSC ID,Content Data Category,Content TGSC ID,Content Name,Content Header,Concentration %,Concentration Min %,Concentration Max %
1015351,rw,1094031,methyl (Z)-2-nonenoate,also (can) contains,,,
1015461,rw,1081391,(Z)-cinnamyl benzoate,also (can) contains,,,
1015461,rw,1081401,(E)-cinnamyl benzoate,also (can) contains,,,
1015511,rw,1003191,amyl alcohol,also (can) contains,,4.0,8.0
1015591,rw,1470031,(E)-3-hexen-1-yl butyrate,also (can) contains,,0.01,3.0
1015831,rw,1123381,(E)-alpha-ionol,also (can) contains,,,
1015851,rw,1123391,(E)-beta-ionol,also (can) contains,,,
1015871,rw,1015851,beta-ionol,also (can) contains,,2.0,5.0
1015871,rw,1097191,acetic acid,also (can) contains,,2.0,5.0
1015951,rw,1596941,cis-muguet shiseol,also (can) contains,,20.0,40.0
1015951,rw,1596951,trans-muguet shiseol,also (can) contains,,20.0,40.0
1015961,rw,1547371,citral acid isomerized,also contains,,,
1016021,rw,1103401,(E)-12-musk decenone,also (can) contains,,,
1016431,rw,1006571,neryl isobutyrate,also (can) contains,,,
1016691,rw,1061311,neryl hexanoate,also (can) contains,,,
1016881,rw,1002652,ethyl vanillin,also (can) contains,,22.0,27.0
1016881,rw,1022291,hexylene glycol,also (can) contains,,22.0,27.0
1016891,rw,1459321,(E)-jasmone,also (can) contains,,,
1016951,rw,1094441,8-methylnonanal,also (can) contains,,,
1016971,rw,1698041,(E)-3-hexen-1-yl 2-methyl butyrate,also (can) contains,,0.1,2.0
1016991,rw,1623961,(E)-3-hexen-1-yl isovalerate,also (can) contains,,,
1017111,rw,1077561,(E)-cinnamaldehyde dimethyl acetal,also (can) contains,,,
1017311,rw,1010541,(Z)-beta-ocimene,also (can) contains,,,
1017311,rw,1423741,(E)-beta-ocimene,also (can) contains,,,
1017731,rw,1026641,(Z)-2-hexen-1-ol,also (can) contains,,0.1,6.0
1017851,rw,1007032,citronellol,also (can) contains,,6.0,8.0
1017871,rw,1007032,citronellol,also (can) contains,,5.0,10.0
1018151,rw,1019591,phenethyl acetal,also (can) contains,,0.01,1.0
1018581,rw,1002791,allyl disulfide,also (can) contains,,20.0,25.0
1018581,rw,1002971,allyl sulfide,also (can) contains,,20.0,25.0
1018711,rw,1234871,di(propylene glycol) (mixture of isomers),also (can) contains,,,
1018712,rw,1234871,di(propylene glycol) (mixture of isomers),also (can) contains,,,
1018811,rw,1001651,benzyl alcohol,also (can) contains,50.0,,
1019511,rw,1077361,(Z)-benzylidene acetone,also (can) contains,,,
1019511,rw,1291231,(E)-benzylidene acetone,also (can) contains,,,
1019781,rw,1558081,(R)-(+)-menthofuran,also (can) contains,,,
1019781,rw,1558091,(S)-(-)-menthofuran,also (can) contains,,,
1019851,rw,1014671,isoamyl alcohol,also (can) contains,,,
1019891,rw,1662971,(R)-melon heptenal,also (can) contains,,,
1019891,rw,1662981,(S)-melon heptenal,also (can) contains,,,
1020221,rw,1078641,ethyl (S)-3-hydroxyhexanoate,also (can) contains,,,
1020221,rw,1625041,ethyl (R)-3-hydroxyhexanoate,also (can) contains,,,
1020361,rw,1032311,2-methyl butyl isovalerate,also (can) contains,,5.0,10.0
1020591,rw,1027091,"3,5,6-neocyclocitral",also (can) contains,,,
1020591,rw,1332761,"2,4,6-neocyclocitral",also (can) contains,,,
1020611,rw,1378711,"1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthalenyl) ethanone",also (can) contains,,,
1020611,rw,1453741,"1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl ethanone",also (can) contains,,,
1020611,rw,1453751,"1,2,3,4,5,6,7,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl ethanone",also (can) contains,,,
1020612,rw,1378711,"1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthalenyl) ethanone",also (can) contains,,,
1020612,rw,1453741,"1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl ethanone",also (can) contains,,,
1020612,rw,1453751,"1,2,3,4,5,6,7,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl ethanone",also (can) contains,,,
1020631,rw,1459101,1-formyl-3-isohexenyl-3-cyclohexene,also (can) contains,,,
1020632,rw,1459101,1-formyl-3-isohexenyl-3-cyclohexene,also (can) contains,,,
1020751,rw,1240821,methyl 4-isopropyl-1-methyl bicyclo(2.2.2)oct-5-ene-2-carboxylate,also (can) contains,,,
1020752,rw,1240821,methyl 4-isopropyl-1-methyl bicyclo(2.2.2)oct-5-ene-2-carboxylate,also (can) contains,,,
1020861,rw,1004412,dimethyl benzyl carbinol,also (can) contains,,5.0,7.0
1021111,rw,1521501,isoamyl (E)-cinnamate,also (can) contains,,,
1021251,rw,1035611,dipropyl disulfide,also (can) contains,,1.0,15.0
1021321,rw,1430641,"(E,Z)-2,4-dodecadienal",also (can) contains,,,
1021591,rw,1430701,"(E)-3,7,11-trimethyl-6,10-dodecadienal",also (can) contains,,,
1021871,rw,1525951,(E)-woody epoxide,also (can) contains,,,
1022641,rw,1123421,ethyl (Z)-3-(2-furyl) acrylate,also (can) contains,,,
1022641,rw,1597541,ethyl (E)-3-(2-furyl) acrylate,also (can) contains,,,
1022711,rw,1385771,ethyl 2-hexenoate,also (can) contains,,,
1022971,rw,1433111,ethyl (E)-2-octenoate,also (can) contains,,,
1023011,rw,1011971,(E)-alpha-methyl ionone (74-80%),also (can) contains,,14.0,31.0
1023011,rw,1045331,beta-isomethyl ionone,also (can) contains,,14.0,31.0
1023011,rw,1429121,pseudomethyl ionone,also (can) contains,,14.0,31.0
1023011,rw,1445221,(E)-beta-methyl ionone,also (can) contains,,14.0,31.0
1023012,rw,1011971,(E)-alpha-methyl ionone (74-80%),also (can) contains,,14.0,31.0
1023012,rw,1045331,beta-isomethyl ionone,also (can) contains,,14.0,31.0
1023012,rw,1429121,pseudomethyl ionone,also (can) contains,,14.0,31.0
1023012,rw,1445221,(E)-beta-methyl ionone,also (can) contains,,14.0,31.0
1023661,rw,1127051,"4,7-methano-1H-indene-5-carboxaldehyde, octahydro-6-methyl-",also (can) contains,,,
1023901,rw,1600541,rebaudioside A,also (can) contains,,,
1023991,rw,1038021,creamy lactone,also (can) contains,,,
1024111,rw,1511481,(E)-3-hexen-1-yl dihydro-5-methyl furan-2(3H)-one,also (can) contains,,0.1,9.0
