TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1008961,65530-53-2,2-[(furan-2-ylmethyl)sulfanyl]-5-methylpyrazine,65530-53-2,,,,,,,C10 H10 N2 O S,,2287.0,J208.520H,,,,,,,206.2679,1.3
1008971,1569-60-4,6-methylhept-5-en-2-ol,1569-60-4,,4630-06-2,,,,20745,C8 H16 O,1720072,10264.0,J44.141D,MFCD00004561,216-377-1,100.014.889,33321H09GI,,,128.21472,2.3
1008981,59323-76-1,"(2R,4S)-2-methyl-4-propyl-1,3-oxathiane",59323-76-1,,,,,,,C8 H16 O S,,,J24.392B,,261-699-8,100.056.072,K3U570395A,,,160.27972,2.7
1008991,1793064-68-2,"(4R)-5-hydroxy-4-(4-hydroxy-3-methoxyphenyl)-7-methyl-3,4-dihydrochromen-2-one",1793064-68-2,,,,,,,C17 H16 O5,,,,,,,99FU095CJ0,,,300.31052,2.7
1009001,109-08-0,2-methylpyrazine,109-08-0,,,,,,,C5 H6 N2,0105778,2270.0,J1.501F,MFCD00006142,203-645-8,100.003.315,RVC6500U9C,,,94.11682,0.2
1009011,23328-62-3,2-methylsulfanylacetaldehyde,23328-62-3,,,,,,,C3 H6 O S,,11686.0,J228.930J,MFCD02824035,245-587-6,100.041.428,F0NVN68DIT,,,90.14502,0.4
1009021,67952-65-2,2-methyl-3-methylsulfanylpyrazine,67952-65-2,,,,,,,C6 H8 N2 S,0774815,2290.0,J113.403E,MFCD00053111,267-918-3,100.061.726,,,,140.20876,0.3
1009031,7212-44-4,"3,7,11-trimethyldodeca-1,6,10-trien-3-ol",7212-44-4,,,,,,,C15 H26 O,1724135,67.0,,MFCD00008911,230-597-5,,QR6IP857S6,,2772,222.37142,4.6
1009032,7212-44-4,"3,7,11-trimethyldodeca-1,6,10-trien-3-ol",7212-44-4,,,,,,,C15 H26 O,1724135,67.0,,MFCD00008911,230-597-5,100.027.816,QR6IP857S6,,,222.37142,4.6
1009041,13679-70-4,5-methyl-2-thiophene-2-carboxaldehyde,13679-70-4,,,,,,61663,C6 H6 O S,0106896,2203.0,J5.207H,MFCD00005434,237-178-6,100.033.784,UDF14S002L,,,126.17802,1.8
1009051,505-10-2,3-methylsulfanylpropan-1-ol,505-10-2,,,,,,10448,C4 H10 O S,,11554.0,J97.164B,MFCD00036560,208-004-6,100.007.277,H1E1U441XX,,,106.1879,0.5
1009061,544-63-8,tetradecanoic acid,544-63-8,,45184-05-2,,,,11005,C14 H28 O2,0508624,16.0,J4.411C,MFCD00002744,208-875-2,100.008.069,0I3V7S25AW,,,228.37556,5.3
1009071,1128-08-1,3-methyl-2-pentylcyclopent-2-en-1-one,1128-08-1,,30966-11-1,,,,,C11 H18 O,1906471,,J12.280G,MFCD00036480,214-434-5,100.013.122,Y953R7PP90,,,166.26366,2.9
1009081,5910-87-2,"(2E,4E)-nona-2,4-dienal",5910-87-2,,,,,,,C9 H14 O,,732.0,J224K,MFCD00007006,227-629-5,100.025.117,Y411G77SH7,,,138.20978,2.7
