CID,Experiment,ROI#,DeltaF
-1,114R,122,0.0
-1,114R,123,0.0
-1,114R,124,0.0
-1,114R,125,0.0
-1,114R,126,0.0
-1,114R,127,0.0
-1,114R,128,0.0
-1,114R,129,0.0
-1,114R,130,0.0
-1,114R,131,0.0
-1,114R,132,0.0
-1,114R,133,0.0
-1,114R,134,0.0
-1,114R,135,0.0
240,111L,1,16.203351974487305
240,111L,2,0.0
240,111L,3,0.0
240,111L,4,0.0
240,111L,5,0.0
240,111L,6,0.0
240,111L,7,0.0
240,111L,8,0.0
240,111L,9,0.0
240,111L,10,0.0
240,111L,11,0.0
240,111L,12,0.0
240,111L,13,0.0
240,111L,14,0.0
240,111L,15,0.0
240,111L,16,0.0
240,111L,17,0.0
240,111L,18,0.0
240,111L,19,0.0
240,111L,20,0.0
240,111L,21,0.0
240,111L,22,0.0
240,111L,23,0.0
240,111L,24,0.0
240,111L,25,0.0
240,111L,26,0.0
240,111L,27,0.0
240,111L,28,0.0
240,111L,29,0.0
240,111L,30,0.0
240,111L,31,0.0
240,111L,32,0.0
240,111L,33,0.0
240,111L,34,0.0
240,111L,35,0.0
240,111L,36,0.0
240,111L,37,0.0
240,111L,38,0.0
240,111L,39,0.0
240,111L,40,0.0
240,111L,41,0.0
240,111L,42,0.0
240,111L,43,0.0
240,111L,44,7.844438076019287
240,111L,45,0.0
240,111L,46,0.0
240,111L,47,0.0
240,111L,48,0.0
240,111L,49,0.0
240,111L,50,0.0
240,111L,51,0.0
240,111L,52,0.0
240,111L,53,0.0
240,111L,54,0.0
240,111L,55,0.0
240,111L,56,0.0
240,111L,57,0.0
240,111L,58,0.0
240,111L,59,0.0
240,111L,60,0.0
240,111L,61,0.0
240,111L,62,0.0
240,111L,63,0.0
240,111L,64,0.0
240,111L,65,0.0
240,111L,66,0.0
240,111L,67,0.0
240,111L,68,0.0
240,111L,69,0.0
240,111L,70,0.0
240,111L,71,0.0
240,111L,72,0.0
240,111L,73,0.0
240,111L,74,0.0
240,111L,75,0.0
240,111L,76,0.0
240,111L,77,0.0
240,111L,78,0.0
240,111L,79,0.0
240,111L,80,0.0
240,111L,81,0.0
240,111L,82,0.0
240,111L,83,0.0
240,111L,84,0.0
240,111L,85,0.0
240,111L,86,0.0
240,111L,87,0.0
240,111L,88,0.0
240,111L,89,0.0
240,111L,90,0.0
240,111L,91,0.0
240,111L,92,0.0
