Stimulus,Experiment,ImagePath
20499_3.51e-13,113R,images/113_difurfuryl_disulfide.csv
20499_3.51e-13,114L,images/114_difurfuryl_disulfide.csv
20499_3.51e-13,114R,images/114_difurfuryl_disulfide.csv
21059_1.68e-11,111L,images/111_ethyl_maltol.csv
21059_1.68e-11,111R,images/111_ethyl_maltol.csv
21059_1.68e-12,112L,images/112_ethyl_maltol.csv
21059_1.68e-12,112R,images/112_ethyl_maltol.csv
21059_1.68e-12,113L,images/113_ethyl_maltol.csv
21059_1.68e-12,113R,images/113_ethyl_maltol.csv
21059_1.68e-12,114L,images/114_ethyl_maltol.csv
21059_1.68e-12,114R,images/114_ethyl_maltol.csv
21648_7.63e-10,111L,images/111_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-10,111R,images/111_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-10,112L,images/112_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-10,112R,images/112_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-11,113L,images/113_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-11,113R,images/113_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-11,114L,images/114_4-(4-hydroxyphenyl)-2-butanone.csv
21648_7.63e-11,114R,images/114_4-(4-hydroxyphenyl)-2-butanone.csv
22201_2.62e-09,111L,"images/111_2,3-dimethylpyrazine.csv"
22201_2.62e-09,111R,"images/111_2,3-dimethylpyrazine.csv"
22201_2.62e-10,112L,"images/112_2,3-dimethylpyrazine.csv"
22201_2.62e-10,112R,"images/112_2,3-dimethylpyrazine.csv"
22201_2.62e-10,113L,"images/113_2,3-dimethylpyrazine.csv"
22201_2.62e-10,113R,"images/113_2,3-dimethylpyrazine.csv"
22201_2.62e-10,114L,"images/114_2,3-dimethylpyrazine.csv"
22201_2.62e-10,114R,"images/114_2,3-dimethylpyrazine.csv"
2345_4.24e-11,111L,images/111_benzyl_benzoate.csv
2345_4.24e-11,111R,images/111_benzyl_benzoate.csv
2345_4.24e-11,112L,images/112_benzyl_benzoate.csv
2345_4.24e-11,112R,images/112_benzyl_benzoate.csv
2345_4.24e-11,113L,images/113_benzyl_benzoate.csv
2345_4.24e-11,113R,images/113_benzyl_benzoate.csv
2345_4.24e-11,114L,images/114_benzyl_benzoate.csv
2345_4.24e-11,114R,images/114_benzyl_benzoate.csv
240_7.70e-11,111L,images/111_benzaldehyde.csv
240_7.70e-11,111R,images/111_benzaldehyde.csv
240_7.70e-11,112L,images/112_benzaldehyde.csv
240_7.70e-11,112R,images/112_benzaldehyde.csv
240_7.70e-11,113L,images/113_benzaldehyde.csv
240_7.70e-11,113R,images/113_benzaldehyde.csv
240_7.70e-11,114L,images/114_benzaldehyde.csv
240_7.70e-11,114R,images/114_benzaldehyde.csv
25124_1.53e-12,112L,"images/112_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-12,112R,"images/112_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,111L,"images/111_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,111R,"images/111_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,113L,"images/113_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,113R,"images/113_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,114L,"images/114_N,N-dimethyl-2-phenethylamine.csv"
25124_1.53e-13,114R,"images/114_N,N-dimethyl-2-phenethylamine.csv"
25915_1.46e-11,111L,images/111_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,111R,images/111_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,112L,images/112_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,112R,images/112_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,113L,images/113_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,113R,images/113_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,114L,images/114_2-ethyl-5-methylpyrazine.csv
25915_1.46e-11,114R,images/114_2-ethyl-5-methylpyrazine.csv
261_6.05e-09,111L,images/111_butyraldehyde.csv
261_6.05e-09,111R,images/111_butyraldehyde.csv
261_6.05e-09,112L,images/112_butyraldehyde.csv
261_6.05e-09,112R,images/112_butyraldehyde.csv
261_6.05e-09,113L,images/113_butyraldehyde.csv
261_6.05e-09,113R,images/113_butyraldehyde.csv
261_6.05e-09,114L,images/114_butyraldehyde.csv
261_6.05e-09,114R,images/114_butyraldehyde.csv
26331_3.04e-11,111L,images/111_2-ethylpyrazine.csv
26331_3.04e-11,111R,images/111_2-ethylpyrazine.csv
26331_3.04e-11,112L,images/112_2-ethylpyrazine.csv
26331_3.04e-11,112R,images/112_2-ethylpyrazine.csv
26331_3.04e-11,113L,images/113_2-ethylpyrazine.csv
26331_3.04e-11,113R,images/113_2-ethylpyrazine.csv
26331_3.04e-11,114L,images/114_2-ethylpyrazine.csv
26331_3.04e-11,114R,images/114_2-ethylpyrazine.csv
26333_2.30e-10,111L,images/111_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,111R,images/111_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,112L,images/112_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,112R,images/112_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,113L,images/113_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,113R,images/113_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,114L,images/114_2-isobutyl-3-methylpyrazine.csv
26333_2.30e-10,114R,images/114_2-isobutyl-3-methylpyrazine.csv
26447_2.82e-10,111L,images/111_menthone.csv
26447_2.82e-10,111R,images/111_menthone.csv
26447_2.82e-10,112L,images/112_menthone.csv
26447_2.82e-10,112R,images/112_menthone.csv
26447_2.82e-10,113L,images/113_menthone.csv
26447_2.82e-10,113R,images/113_menthone.csv
26447_2.82e-10,114L,images/114_menthone.csv
26447_2.82e-10,114R,images/114_menthone.csv
264_1.61e-11,111L,images/111_butyric_acid.csv
264_1.61e-11,111R,images/111_butyric_acid.csv
264_1.61e-11,112L,images/112_butyric_acid.csv
264_1.61e-11,112R,images/112_butyric_acid.csv
264_1.61e-11,113L,images/113_butyric_acid.csv
264_1.61e-11,113R,images/113_butyric_acid.csv
264_1.61e-11,114L,images/114_butyric_acid.csv
264_1.61e-11,114R,images/114_butyric_acid.csv
26808_1.31e-11,111L,"images/111_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,111R,"images/111_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,112L,"images/112_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,112R,"images/112_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,113L,"images/113_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,113R,"images/113_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,114L,"images/114_2,3,5-trimethylpyrazine.csv"
26808_1.31e-11,114R,"images/114_2,3,5-trimethylpyrazine.csv"
273_7.32e-12,112L,images/112_cadaverine.csv
273_7.32e-12,112R,images/112_cadaverine.csv
273_7.32e-13,111L,images/111_cadaverine.csv
273_7.32e-13,111R,images/111_cadaverine.csv
273_7.32e-13,113L,images/113_cadaverine.csv
273_7.32e-13,113R,images/113_cadaverine.csv
273_7.32e-13,114L,images/114_cadaverine.csv
273_7.32e-13,114R,images/114_cadaverine.csv
