Subject,Experiment,Mouse ID,Hemisphere,ROI#,Xpos,Ypos
112L_082,112L,112,L,82,-1088.9975,327.555
112L_083,112L,112,L,83,-1604.705,1044.93166666667
112L_084,112L,112,L,84,-1122.485,644.57
112L_085,112L,112,L,85,-710.812,482.044
112L_086,112L,112,L,86,-1669.12857142857,638.191428571429
112L_087,112L,112,L,87,-1550.232,1308.962
112L_088,112L,112,L,88,-1306.82571428571,625.434285714286
112L_089,112L,112,L,89,-855.222857142857,1383.20857142857
112L_090,112L,112,L,90,-1604.705,733.87
112L_091,112L,112,L,91,-954.303333333333,1055.35
112L_092,112L,112,L,92,-1161.85818181818,685.972727272727
112L_093,112L,112,L,93,-1711.16,654.44
112L_094,112L,112,L,94,-962.532941176471,1929.96470588235
112L_095,112L,112,L,95,-591.15,912.47
112L_096,112L,112,L,96,-1535.29454545455,1062.65636363636
112L_097,112L,112,L,97,-1534.75333333333,605.873333333333
112L_098,112L,112,L,98,-873.933333333333,1560.39111111111
112L_099,112L,112,L,99,-1018.79777777778,923.384444444445
112L_100,112L,112,L,100,-1064.44,1382.188
112R_001,112R,112,R,1,1471.68,1341.11
112R_002,112R,112,R,2,1294.56833333333,833.588333333333
112R_003,112R,112,R,3,1560.98,1219.91714285714
112R_004,112R,112,R,4,1193.57428571429,444.282857142857
112R_005,112R,112,R,5,1302.3672,1785.824
112R_006,112R,112,R,6,1162.702,710.652
112R_007,112R,112,R,7,1398.75166666667,1238.415
112R_008,112R,112,R,8,1340.70666666667,861.866666666667
112R_009,112R,112,R,9,912.662,1828.688
112R_010,112R,112,R,10,1203.78,566.581333333333
112R_011,112R,112,R,11,1089.476,864.248
112R_012,112R,112,R,12,784.07,2064.44
112R_013,112R,112,R,13,1016.25,1546.5
112R_014,112R,112,R,14,683.288571428571,1069.38285714286
112R_015,112R,112,R,15,989.46,2141.238
112R_016,112R,112,R,16,1758.71571428571,1112.75714285714
112R_017,112R,112,R,17,961.394285714285,1469.95714285714
112R_018,112R,112,R,18,1080.38363636364,1963.77454545455
112R_019,112R,112,R,19,578.68,2332.34
112R_020,112R,112,R,20,1721.72,787.45
112R_021,112R,112,R,21,900.16,2225.18
112R_022,112R,112,R,22,1715.76666666667,915.446666666667
112R_023,112R,112,R,23,1693.65428571429,862.717142857143
112R_024,112R,112,R,24,1291.70615384615,1105.49538461538
112R_025,112R,112,R,25,595.349333333333,576.106666666667
112R_026,112R,112,R,26,1063.64769230769,2053.44923076923
112R_027,112R,112,R,27,1486.98857142857,973.704285714286
112R_028,112R,112,R,28,1614.56,1166.975
112R_029,112R,112,R,29,1611.1580952381,884.829523809524
112R_030,112R,112,R,30,1702.37166666667,343.926666666667
112R_031,112R,112,R,31,993.428888888889,437.195555555556
112R_032,112R,112,R,32,1290.26,400.64
112R_033,112R,112,R,33,337.57,1841.19
112R_034,112R,112,R,34,700.35125,1446.0375
112R_035,112R,112,R,35,694.77,599.92
112R_036,112R,112,R,36,837.65,555.27
112R_037,112R,112,R,37,1074.295,375.181666666667
112R_038,112R,112,R,38,766.21,841.03
112R_039,112R,112,R,39,758.768333333333,1257.76333333333
112R_040,112R,112,R,40,793.0,1019.63
112R_041,112R,112,R,41,940.345,599.92
112R_042,112R,112,R,42,1043.04,626.71
112R_043,112R,112,R,43,973.8325,711.545
112R_044,112R,112,R,44,950.492727272727,851.583636363636
112R_045,112R,112,R,45,682.268,1575.076
112R_046,112R,112,R,46,732.276,1675.092
112R_047,112R,112,R,47,901.27625,1192.64875
112R_048,112R,112,R,48,920.2525,1329.9475
112R_049,112R,112,R,49,839.436,1364.328
112R_050,112R,112,R,50,1119.58285714286,786.174285714286
112R_051,112R,112,R,51,1332.372,671.36
