stimulus,subject,rep,intensity
IP1,575,1,4.0
IP1,575,2,5.0
IP1,576,1,6.0
IP1,576,2,7.0
IP1,577,1,5.0
IP1,577,2,6.0
IP1,580,1,6.0
IP1,580,2,5.0
IP1,581,1,4.0
IP1,581,2,4.0
IP1,582,1,5.0
IP1,582,2,5.0
IP1,583,1,7.0
IP1,583,2,5.0
IP1,700,1,6.0
IP1,700,2,7.0
IP1,701,1,5.0
IP1,701,2,5.0
IP1,702,1,6.0
IP1,702,2,3.0
IP1,703,1,5.0
IP1,703,2,5.0
IP1,704,1,5.0
IP1,704,2,6.0
IP1,705,1,6.0
IP1,705,2,5.0
IP1,706,1,7.0
IP1,706,2,6.0
IP1,707,1,6.0
IP1,707,2,6.0
IP1,708,1,6.0
IP1,708,2,7.0
IP1,709,1,5.0
IP1,709,2,5.0
IP1,710,1,6.0
IP1,710,2,6.0
IP1,711,1,7.0
IP1,711,2,5.0
IP1,712,1,5.0
IP1,712,2,6.0
IP1,713,1,5.0
IP1,713,2,6.0
IP1,714,1,5.0
IP1,714,2,7.0
IP1,715,1,6.0
IP1,715,2,7.0
IP1,716,1,5.0
IP1,716,2,5.0
IP1,719,1,3.0
IP1,719,2,6.0
IP1,720,1,7.0
IP1,720,2,7.0
IP1,721,1,6.0
IP1,721,2,6.0
IP1,723,1,7.0
IP1,723,2,7.0
IP1,724,1,1.0
IP1,724,2,5.0
IP1,725,1,5.0
IP1,725,2,5.0
IP1,727,1,6.0
IP1,727,2,5.0
IP1,728,1,6.0
IP1,728,2,7.0
IP1,731,1,5.0
IP1,731,2,5.0
IP1,732,1,7.0
IP1,732,2,6.0
IP1,733,1,6.0
IP1,733,2,3.0
IP1,735,1,5.0
IP1,735,2,5.0
IP1,737,1,5.0
IP1,737,2,5.0
IP1,738,1,6.0
IP1,738,2,6.0
IP1,739,1,6.0
IP1,739,2,7.0
IP1,740,1,5.0
IP1,740,2,6.0
IP1,743,1,5.0
IP1,743,2,6.0
IP1,745,1,7.0
IP1,745,2,7.0
IP1,746,1,6.0
IP1,746,2,5.0
IP1,748,1,6.0
IP1,748,2,6.0
IP1,749,1,4.0
IP1,749,2,5.0
IP1,750,1,4.0
IP1,750,2,4.0
IP1,751,1,6.0
IP1,751,2,7.0
IP1,752,1,5.0
IP1,752,2,7.0
IP1,753,1,5.0
IP1,753,2,7.0
IP1,754,1,6.0
IP1,754,2,7.0
IP1,755,1,5.0
IP1,755,2,6.0
IP1,756,1,5.0
IP1,756,2,7.0
IP1,760,1,6.0
IP1,760,2,6.0
IP1,761,1,6.0
IP1,761,2,6.0
IP1,762,1,6.0
IP1,762,2,5.0
IP1,763,1,6.0
IP1,763,2,6.0
IP1,764,1,4.0
IP1,764,2,6.0
IP1,765,1,6.0
IP1,765,2,5.0
IP1,766,1,7.0
IP1,766,2,7.0
IP1,767,1,5.0
IP1,767,2,3.0
IP1,771,1,3.0
IP1,771,2,4.0
IP1,772,1,6.0
IP1,772,2,5.0
IP1,774,1,7.0
IP1,774,2,5.0
IP1,775,1,7.0
IP1,775,2,6.0
IP1,776,1,6.0
IP1,776,2,6.0
IP1,778,1,5.0
IP1,778,2,6.0
IP1,782,1,6.0
IP1,782,2,7.0
IP1,783,1,6.0
IP1,783,2,5.0
IP1,784,1,4.0
IP1,784,2,6.0
IP1,787,1,6.0
IP1,787,2,5.0
IP1,788,1,6.0
IP1,788,2,5.0
IP1,789,1,6.0
IP1,789,2,5.0
IP1,790,1,5.0
IP1,790,2,6.0
IP1,791,1,5.0
IP1,791,2,6.0
IP1,792,1,5.0
IP1,792,2,5.0
IP1,793,1,5.0
IP1,793,2,5.0
IP1,794,1,3.0
IP1,794,2,5.0
IP1,795,1,3.0
IP1,795,2,1.0
IP1,796,1,6.0
IP1,796,2,5.0
IP1,797,1,5.0
IP1,797,2,6.0
IP1,798,1,5.0
IP1,798,2,5.0
IP1,799,1,5.0
IP1,799,2,6.0
IP1,800,1,6.0
IP1,800,2,6.0
IP1,801,1,5.0
IP1,801,2,5.0
IP1,804,1,7.0
IP1,804,2,6.0
IP1,805,1,7.0
IP1,805,2,7.0
IP1,806,1,4.0
IP1,806,2,4.0
IP1,807,1,5.0
IP1,807,2,7.0
IP1,809,1,1.0
IP1,809,2,6.0
IP1,810,1,5.0
IP1,810,2,5.0
IP1,812,1,5.0
IP1,812,2,5.0
IP1,813,1,5.0
IP1,813,2,5.0
IP1,814,1,6.0
IP1,814,2,5.0
IP1,815,1,7.0
IP1,815,2,6.0
IP1,816,1,7.0
IP1,816,2,4.0
IP1,901,1,6.0
IP1,901,2,6.0
IP1,902,1,6.0
IP1,902,2,5.0
IP1,903,1,5.0
IP1,903,2,4.0
IP1,905,1,5.0
IP1,905,2,6.0
IP1,906,1,5.0
IP1,906,2,5.0
IP1,909,1,6.0
IP1,909,2,6.0
IP1,911,1,6.0
IP1,911,2,6.0
IP1,912,1,3.0
IP1,912,2,5.0
IP1,914,1,7.0
IP1,914,2,6.0
IP1,917,1,4.0
IP1,917,2,5.0
IP1,918,1,5.0
IP1,918,2,5.0
IP10,33,1,1.0
IP10,33,2,4.0
IP10,36,1,5.0
IP10,36,2,3.0
IP10,37,1,1.0
IP10,37,2,1.0
IP10,38,1,1.0
IP10,38,2,1.0
IP10,39,1,2.0
IP10,39,2,3.0
IP10,42,1,3.0
IP10,42,2,5.0
IP10,45,1,3.0
IP10,45,2,4.0
IP10,46,1,1.0
IP10,46,2,4.0
IP10,52,1,4.0
IP10,52,2,6.0
IP10,53,1,3.0
IP10,53,2,6.0
IP10,55,1,5.0
IP10,55,2,2.0
IP10,56,1,5.0
IP10,56,2,2.0
IP10,61,1,4.0
IP10,61,2,1.0
IP10,66,1,4.0
IP10,66,2,3.0
IP10,67,1,3.0
IP10,67,2,0.0
IP10,68,1,5.0
IP10,68,2,6.0
IP10,77,1,5.0
IP10,77,2,5.0
IP10,107,1,0.0
IP10,107,2,1.0
IP10,108,1,3.0
IP10,108,2,1.0
IP10,110,1,2.0
IP10,110,2,3.0
IP10,111,1,4.0
IP10,111,2,4.0
IP10,112,1,5.0
IP10,112,2,6.0
IP10,113,1,5.0
IP10,113,2,1.0
IP10,114,1,1.0
IP10,114,2,5.0
IP10,115,1,3.0
IP10,115,2,3.0
IP10,117,1,3.0
IP10,117,2,5.0
IP10,118,1,2.0
IP10,118,2,2.0
IP10,124,1,0.0
IP10,124,2,4.0
IP10,125,1,3.0
IP10,125,2,3.0
IP10,126,1,2.0
IP10,126,2,3.0
IP10,127,1,6.0
IP10,127,2,6.0
IP10,178,1,0.0
IP10,178,2,0.0
IP10,179,1,1.0
IP10,179,2,2.0
IP10,181,1,1.0
IP10,181,2,3.0
IP10,183,1,1.0
IP10,183,2,0.0
IP10,184,1,4.0
IP10,184,2,0.0
IP10,185,1,1.0
IP10,185,2,2.0
IP10,186,1,4.0
IP10,186,2,4.0
IP10,188,1,4.0
IP10,188,2,0.0
IP10,190,1,4.0
IP10,190,2,2.0
IP10,193,1,0.0
IP10,193,2,0.0
IP10,194,1,1.0
IP10,194,2,0.0
IP10,195,1,0.0
IP10,195,2,3.0
IP10,196,1,4.0
IP10,196,2,4.0
IP10,199,1,1.0
IP10,199,2,2.0
IP10,200,1,0.0
IP10,200,2,0.0
IP10,201,1,0.0
IP10,201,2,2.0
IP10,202,1,1.0
IP10,202,2,0.0
IP10,205,1,1.0
IP10,205,2,1.0
IP10,208,1,5.0
IP10,208,2,4.0
IP10,211,1,1.0
IP10,211,2,3.0
IP10,212,1,0.0
IP10,212,2,0.0
IP10,213,1,2.0
IP10,213,2,4.0
IP10,217,1,0.0
IP10,217,2,2.0
IP10,218,1,0.0
IP10,218,2,0.0
IP10,220,1,1.0
IP10,220,2,1.0
IP10,221,1,0.0
IP10,221,2,0.0
IP10,222,1,3.0
IP10,222,2,3.0
IP10,224,1,3.0
IP10,224,2,2.0
IP10,226,1,2.0
IP10,226,2,4.0
IP10,228,1,3.0
IP10,228,2,3.0
IP10,233,1,4.0
IP10,233,2,5.0
IP10,235,1,4.0
IP10,235,2,4.0
IP10,239,1,5.0
IP10,239,2,5.0
IP10,240,1,0.0
IP10,240,2,1.0
IP10,242,1,6.0
IP10,242,2,5.0
IP10,243,1,4.0
IP10,243,2,2.0
IP10,246,1,3.0
IP10,246,2,1.0
IP10,247,1,3.0
IP10,247,2,3.0
IP10,249,1,6.0
IP10,249,2,3.0
IP10,251,1,1.0
IP10,251,2,3.0
IP10,253,1,5.0
IP10,253,2,0.0
IP10,256,1,3.0
IP10,256,2,5.0
IP10,257,1,5.0
IP10,257,2,4.0
IP10,258,1,1.0
IP10,258,2,1.0
IP10,259,1,3.0
IP10,259,2,5.0
IP10,260,1,3.0
IP10,260,2,4.0
IP10,264,1,2.0
IP10,264,2,1.0
IP10,265,1,3.0
IP10,265,2,0.0
IP10,266,1,5.0
IP10,266,2,3.0
IP10,267,1,2.0
IP10,267,2,3.0
IP10,269,1,2.0
IP10,269,2,5.0
IP10,270,1,0.0
IP10,270,2,5.0
IP10,272,1,4.0
IP10,272,2,2.0
IP10,273,1,0.0
IP10,273,2,2.0
IP10,274,1,2.0
IP10,274,2,1.0
IP10,275,1,2.0
IP10,275,2,2.0
IP10,276,1,3.0
IP10,276,2,3.0
IP10,278,1,0.0
IP10,278,2,2.0
IP10,280,1,3.0
IP10,280,2,3.0
IP10,283,1,2.0
IP10,283,2,5.0
IP10,287,1,
IP10,287,2,0.0
IP10,288,1,3.0
IP10,288,2,2.0
IP10,290,1,5.0
IP10,290,2,3.0
IP10,292,1,1.0
IP10,292,2,2.0
IP10,297,1,1.0
IP10,297,2,2.0
IP10,298,1,1.0
IP10,298,2,4.0
IP10,299,1,0.0
IP10,299,2,1.0
IP10,301,1,4.0
IP10,301,2,4.0
IP10,302,1,0.0
IP10,302,2,3.0
IP10,307,1,3.0
IP10,307,2,5.0
IP10,308,1,3.0
IP10,308,2,2.0
IP10,309,1,1.0
IP10,309,2,2.0
IP10,310,1,0.0
IP10,310,2,5.0
IP10,311,1,2.0
IP10,311,2,4.0
IP10,313,1,6.0
IP10,313,2,3.0
IP10,315,1,5.0
IP10,315,2,3.0
IP10,317,1,5.0
IP10,317,2,5.0
IP10,318,1,1.0
IP10,318,2,0.0
IP10,319,1,2.0
IP10,319,2,2.0
IP10,320,1,1.0
IP10,320,2,0.0
IP10,321,1,1.0
IP10,321,2,0.0
IP10,323,1,1.0
IP10,323,2,2.0
IP10,324,1,0.0
IP10,324,2,0.0
IP10,325,1,3.0
IP10,325,2,4.0
IP10,326,1,4.0
IP10,326,2,2.0
IP10,328,1,0.0
IP10,328,2,3.0
IP10,329,1,3.0
IP10,329,2,5.0
IP10,330,1,0.0
IP10,330,2,5.0
IP10,331,1,1.0
IP10,331,2,2.0
IP10,332,1,2.0
IP10,332,2,2.0
IP10,333,1,2.0
IP10,333,2,4.0
IP10,334,1,0.0
IP10,334,2,1.0
IP10,335,1,5.0
IP10,335,2,5.0
IP10,336,1,4.0
IP10,336,2,5.0
IP10,337,1,
IP10,337,2,5.0
IP10,338,1,5.0
IP10,338,2,4.0
IP10,341,1,0.0
IP10,341,2,0.0
IP10,342,1,3.0
IP10,342,2,3.0
IP10,343,1,0.0
IP10,343,2,0.0
IP10,344,1,1.0
IP10,344,2,2.0
IP10,345,1,1.0
IP10,345,2,4.0
IP10,346,1,7.0
IP10,346,2,0.0
IP10,347,1,1.0
IP10,347,2,4.0
IP10,348,1,4.0
IP10,348,2,0.0
IP10,349,1,3.0
IP10,349,2,4.0
IP10,350,1,0.0
IP10,350,2,2.0
IP10,351,1,1.0
IP10,351,2,1.0
IP10,352,1,4.0
IP10,352,2,4.0
IP10,354,1,2.0
IP10,354,2,1.0
IP10,356,1,0.0
IP10,356,2,1.0
IP10,357,1,2.0
IP10,357,2,2.0
IP10,359,1,
IP10,359,2,2.0
IP10,360,1,4.0
IP10,360,2,2.0
IP10,363,1,3.0
IP10,363,2,2.0
IP10,364,1,3.0
IP10,364,2,2.0
IP10,365,1,2.0
IP10,365,2,3.0
IP10,366,1,0.0
IP10,366,2,4.0
IP10,369,1,3.0
IP10,369,2,0.0
IP10,371,1,2.0
IP10,371,2,4.0
IP10,373,1,1.0
IP10,373,2,5.0
IP10,374,1,0.0
IP10,374,2,2.0
IP10,376,1,3.0
IP10,376,2,2.0
IP10,377,1,3.0
IP10,377,2,4.0
IP10,379,1,2.0
IP10,379,2,2.0
IP10,380,1,4.0
IP10,380,2,5.0
IP10,381,1,1.0
IP10,381,2,4.0
IP10,382,1,2.0
IP10,382,2,5.0
IP10,384,1,4.0
IP10,384,2,5.0
IP10,385,1,5.0
IP10,385,2,0.0
IP10,386,1,3.0
IP10,386,2,3.0
IP10,388,1,5.0
IP10,388,2,1.0
IP10,391,1,6.0
IP10,391,2,5.0
IP10,393,1,4.0
IP10,393,2,2.0
IP10,394,1,2.0
IP10,394,2,0.0
IP10,396,1,0.0
IP10,396,2,0.0
IP10,397,1,5.0
IP10,397,2,3.0
IP10,399,1,0.0
IP10,399,2,0.0
IP10,401,1,4.0
IP10,401,2,5.0
IP10,403,1,
IP10,403,2,0.0
IP10,404,1,1.0
IP10,404,2,1.0
IP10,405,1,5.0
IP10,405,2,4.0
IP10,406,1,2.0
IP10,406,2,4.0
IP10,407,1,0.0
IP10,407,2,2.0
IP10,409,1,2.0
IP10,409,2,5.0
IP10,410,1,1.0
IP10,410,2,1.0
IP10,411,1,3.0
IP10,411,2,2.0
IP10,413,1,2.0
IP10,413,2,4.0
