stimulus,subject,rep,descriptor,value
D2,112,1,cool,0
D2,112,1,warm,3
D2,112,1,fruity other,2
D2,112,1,vanilla,0
D2,112,1,musty moldy,2
D2,112,1,rose,0
D2,112,1,violets,0
D2,112,1,lavender,0
D2,112,2,sweet,0
D2,112,2,fragrant,0
D2,112,2,perfumery,0
D2,112,2,floral,0
D2,112,2,cologne,0
D2,112,2,aromatic,0
D2,112,2,musky,0
D2,112,2,incense,0
D2,112,2,sweaty,4
D2,112,2,light,0
D2,112,2,heavy,3
D2,112,2,cool,0
D2,112,2,warm,0
D2,112,2,fruity other,0
D2,112,2,vanilla,0
D2,112,2,musty moldy,0
D2,112,2,rose,0
D2,112,2,violets,0
D2,112,2,lavender,0
D2,113,1,sweet,0
D2,113,1,fragrant,4
D2,113,1,perfumery,3
D2,113,1,floral,0
D2,113,1,cologne,0
D2,113,1,aromatic,5
D2,113,1,musky,0
D2,113,1,incense,0
D2,113,1,sweaty,0
D2,113,1,light,0
D2,113,1,heavy,0
D2,113,1,cool,0
D2,113,1,warm,0
D2,113,1,fruity other,0
D2,113,1,vanilla,0
D2,113,1,musty moldy,0
D2,113,1,rose,0
D2,113,1,violets,0
D2,113,1,lavender,0
D2,113,2,sweet,0
D2,113,2,fragrant,3
D2,113,2,perfumery,4
D2,113,2,floral,1
D2,113,2,cologne,0
D2,113,2,aromatic,0
D2,113,2,musky,0
D2,113,2,incense,0
D2,113,2,sweaty,0
D2,113,2,light,0
D2,113,2,heavy,0
D2,113,2,cool,1
D2,113,2,warm,0
D2,113,2,fruity other,0
D2,113,2,vanilla,0
D2,113,2,musty moldy,0
D2,113,2,rose,0
D2,113,2,violets,0
D2,113,2,lavender,0
D2,114,1,sweet,2
D2,114,1,fragrant,3
D2,114,1,perfumery,4
D2,114,1,floral,1
D2,114,1,cologne,4
D2,114,1,aromatic,3
D2,114,1,musky,3
D2,114,1,incense,0
D2,114,1,sweaty,0
D2,114,1,light,0
D2,114,1,heavy,2
D2,114,1,cool,0
D2,114,1,warm,4
D2,114,1,fruity other,0
D2,114,1,vanilla,0
D2,114,1,musty moldy,0
D2,114,1,rose,0
D2,114,1,violets,0
D2,114,1,lavender,0
D2,114,2,sweet,0
D2,114,2,fragrant,4
D2,114,2,perfumery,0
D2,114,2,floral,2
D2,114,2,cologne,4
D2,114,2,aromatic,4
D2,114,2,musky,4
D2,114,2,incense,2
D2,114,2,sweaty,0
D2,114,2,light,2
D2,114,2,heavy,0
D2,114,2,cool,0
D2,114,2,warm,4
D2,114,2,fruity other,0
D2,114,2,vanilla,0
D2,114,2,musty moldy,0
D2,114,2,rose,0
D2,114,2,violets,0
D2,114,2,lavender,0
D2,115,1,sweet,2
D2,115,1,fragrant,4
D2,115,1,perfumery,0
D2,115,1,floral,2
D2,115,1,cologne,0
D2,115,1,aromatic,4
D2,115,1,musky,2
D2,115,1,incense,3
D2,115,1,sweaty,0
D2,115,1,light,0
D2,115,1,heavy,3
D2,115,1,cool,0
D2,115,1,warm,3
D2,115,1,fruity other,0
D2,115,1,vanilla,0
D2,115,1,musty moldy,0
D2,115,1,rose,0
D2,115,1,violets,0
D2,115,1,lavender,1
D2,115,2,sweet,0
D2,115,2,fragrant,2
D2,115,2,perfumery,1
D2,115,2,floral,2
D2,115,2,cologne,2
D2,115,2,aromatic,2
D2,115,2,musky,4
D2,115,2,incense,3
D2,115,2,sweaty,0
D2,115,2,light,0
D2,115,2,heavy,4
D2,115,2,cool,0
D2,115,2,warm,2
D2,115,2,fruity other,2
D2,115,2,vanilla,1
D2,115,2,musty moldy,1
D2,115,2,rose,0
D2,115,2,violets,0
D2,115,2,lavender,2
D2,117,1,sweet,0
D2,117,1,fragrant,0
