CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
70131-51-0,"1,6-Octadiene, 7-methyl-3-methylene-, acid-hydrated, geraniol fractions, distn. residues",Floral,Rose,Geranium
76-22-2,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",Herbal,Camphoraceous,Green
24238-95-7,"1,7,7-Trimethylbicyclo[4.4.0]dec-3-yl acetate",Woody,Amber,Powdery
3526-75-8,"1.alpha.,5.alpha.-Dihydroguaiol",Woody,Balsamic,Terpenic
68259-33-6,1-[5(Or 6)-Methyl-7(or 8)-(1-methylethyl)bicyclo[2.2.2]oct-5-en-2-yl]ethan-1-one,Woody,Spicy,Balsamic
1725-01-5,10-Oxahexadecanolide,Musk like,Animal Like,Floral
112-19-6,10-Undecen-1-yl acetate,Fruity,Rose,Green
112-45-8,10-Undecenal,Citrus,Citrus,Ozonic
112-38-9,10-Undecenoic acid,Acidic,Woody,Aldehydic
68141-27-5,"10-Undecenoic acid, heptyl ester",Fruity,Floral,Fermented
3391-83-1,11-Oxahexadecanolide,Musk like,Powdery,Creamy
68141-18-4,"11-Tridecen-6-one, 8,12-dimethyl-",Green,Floral,Citrus
6707-60-4,12-Oxahexadecanolide,Musk like,Fruity,Woody
868846-58-6,13-Methyloxacyclopentadecan-2-one,Musk like,Animal Like,Floral
123-69-3,16-Hydroxy-7-hexadecenoic acid lactone,Musk like,Powdery,Animal Like
65416-21-9,1-Bicyclo[2.2.1]hept-5-en-2-ylethan-1-one-oxime,Green,Floral,Woody
850997-10-3,"1-Cyclohexene-1-propanal, 4,4-dimethyl-",Floral,Green,Muguet
1193-81-3,1-Cyclohexylethanol,Herbal,Minty,Fruity
68039-69-0,1-Cyclohexylethyl 2-butenoate,Fruity,Dry,Brandy
63449-88-7,1-Cyclohexylethyl butyrate,Fruity,Berry,Leathery
16510-27-3,1-Cyclopropylmethyl-4-methoxybenzene,Green,Anisic,Floral
112-30-1,1-Decanol,Citrus,Fruity,Orange
51100-54-0,1-Decen-3-ol,Food Like,Earthy,Fungal
61668-40-4,1-Ethoxy 1-decene,Aldehydic,Fresh,Green
36306-86-2,"1-Ethoxy-4-(1-ethoxyvinyl)-3,3,5,5-tetramethylcyclohexene",Woody,Pine,Amber
31996-78-8,"1-Ethyl-3-methoxytricyclo[2.2.1.02,6]heptane",Herbal,Green,Citrus
5240-32-4,1-Ethynylcyclohexyl acetate,Herbal,Hay,Oak
66327-54-6,1-Formyl-1-methyl-4-(4-methyl-pentyl)-3-cyclohexene,Green,Fresh,Aldehydic
1639-09-4,1-Heptanethiol,Sulfurous,Onion,Garlic
4798-44-1,1-Hexen-3-ol,Green,Fresh,Fruity
285977-85-7,"1H-Indende-2-methanol, 2,3-dihydro-2,5-dimethyl-",Floral,Muguet,Aldehydic
95-13-6,1H-Indene,Animal like,Terpenic,Balsamic
60899-29-8,"1H-Indene, 1-ethyl-2,3-dihydro-1,3,3-trimethyl-",Musk like,Floral,Woody
351343-77-6,"1H-Indene, 2,3,3a,4,5,7a-hexahydro-1,1,2,3,3-pentamethyl-6-(2-propenyl)-",Woody,Amber,Dry
1203-17-4,"1H-Indene, 2,3-dihydro-1,1,2,3,3-pentamethyl-",Musk like,Floral,Woody
67860-00-8,"1H-Indole,3-heptanol,eta-1H-indol-3-yl-a,a,e-trimethyl ,8-bis-(2,3-dihydroindol)-2,6-",Animal like,Indolic,Medicinal
"",dimethyl-2-octanol,,,
1565-76-0,1-Menthyl methylether,Herbal,Minty,Fruity
4747-07-3,1-Methoxyhexane,Floral,Sweet,Lavender
94291-50-6,1-Methoxyhexane-3-thiol,Herbal,Green,Citrus
72183-75-6,1-Methyl-2-(1-methylpropyl)cyclohexyl acetate,Fruity,Tropical-Fruit,Sweet
3008-43-3,"1-Methyl-2,3-cyclohexadione",Gourmand,Coffee,Caramel
215231-33-7,1-methyl-3-(2-methylpropyl)cyclohexan-1-ol,Floral,Muguet,Citrus
52474-60-9,1-Methyl-3-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,Ozonic,Fresh,Aldehydic
1076-56-8,1-Methyl-3-methoxy-4-isopropylbenzene,Woody,Smoky,Medicinal
10198-23-9,1-Methyl-4-(1-methylvinyl)cyclohexyl acetate,Floral,Citrus,Dry
139539-67-6,"1-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-oxabicyclo[2.2.2]octane",Fruity,Berry,Powdery
52475-86-2,1-Methyl-4-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,Aldehydic,Green,Floral
21129-27-1,1-Methyl-4-(isopropyl)cyclohexan-1-ol,Floral,Citrus,Pine
37514-30-0,1-Methylcyclododecyl methyl ether,Woody,Dry,Amber
103614-86-4,"1-Naphthalenol, 1,2,3,4,4a,5,8,8a-octahydro-2,2,6,8-tetramethyl-",Fruity,Mango,Passionfruit
68922-14-5,"1-Nonanol, 2,4,6,8-tetramethyl-,acetate",Floral,Fruity,Green
21964-44-3,1-Nonen-3-ol,Green,Cucumber,Violet
111-87-5,1-Octanol,Citrus,Waxy,Green
3391-86-4,1-Octen-3-ol,Herbal,Floral,Lavender
4312-99-6,1-Octen-3-one,Earthy,Mushroom,Herbal
2442-10-6,1-Octen-3-yl acetate,Herbal,Fruity,Floral
71078-31-4,"1-Oxaspiro[4.5]deca-3,6-diene, 2,6,9,10-tetramethyl-",Fruity,Blackcurrant,Green
89079-92-5,"1-Oxaspiro[4.5]deca-3,6-diene, 2,7-dimethyl-10-(1-methylethyl)-",Fruity,Blackcurrant,Tropical-Fruit
79893-63-3,"1-Oxaspiro[4.5]deca-3,6-diene, 6-ethyl-2,10,10-trimethyl-",Fruity,Blackcurrant,Green
4625-90-5,"1-Oxaspiro[4.5]decan-2-one, 8-(1-methylethyl)-, trans-",Woody,Herbal,Oily
91069-40-8,"1-Oxaspiro[4.5]decan-2-one, 8-ethyl-, trans-",Woody,Spicy,Oily
94201-19-1,"1-Oxaspiro[4.5]decan-2-one, 8-methyl-",Gourmand,Lactonic,Coconut
91069-37-3,"1-Oxaspiro[4.5]decan-2-one, 8-methyl-, cis-",Woody,Creamy,Milky
57967-68-7,"1-Oxaspiro[4.5]decan-6-ol, 2,6,10,10-tetramethyl-, (2R,5S,6S)-rel-",Woody,Camphoraceous,Fungal
616-25-1,1-Penten-3-ol,Green,Fruity,Leafy
67739-11-1,"1-Penten-3-ol, 2-methyl-1-(methylbicyclo[2.2.1]hept-5-en-2-yl)-",Woody,Sandalwood,Floral
1629-58-9,1-Penten-3-one,Sulfurous,Garlic,Onion
68555-94-2,"1-Penten-3-one, 2-methyl-1-(2,2,6-trimethylcyclohexenyl)-",Woody,Floral,Violet
579-07-7,"1-Phenyl-1,2-propanedione",Aromatic,Phenolic,Dry
10415-87-9,1-Phenyl-3-methyl-3-pentanol,Floral,Green,Anisic
72007-81-9,1-Phenyl-3-methyl-3-pentyl acetate,Floral,Green,Hyacinth
3240-29-7,1-Phenyl-4-penten-1-one,Balsamic,Sweet,Herbal
71159-90-5,1-p-Menthene-8-thiol,Citrus,Fruity,Grapefruit
128119-70-0,"1-Propanol, 2-methyl-3-[(1,7,7-trimethylbicyclo-[2.2.1]hept-2-yl)oxy]-",Amber,Warm,Woody
112-70-9,1-Tridecanol,Floral,Woody,Green
811436-82-5,"2 Propenoic acid, 2-[1-[(1R)-3,3-dimethylcyclohexyl]ethoxy]-2-methylpropyl ester",Musk like,Fruity,Pear
107-93-7,"2-Butenoic acid, (2E)-",Gourmand,Sweet,Milky
15848-49-4,"2-Cyclopentene-1-acetic acid, ethyl ester",Fruity,Pineapple,Pear
2371-13-3,"2-Octen-1-ol, 1-acetate",Earthy,Mushroom,Lavender
76649-17-7,"2-Pentenoic acid, 2-methyl-, (3Z)-3-hexen-1-yl ester",Fruity,Fresh,Green
2810-04-0,"2-Thiophenecarboxylic acid, ethyl ester",Fruity,Fermented,Grape
68480-25-1,2-Tridecen-1-ol,Green,Fruity,Leafy
141773-73-1,"2-(1-(3',3'-Dimethyl-1'-cyclohexyl)ethoxy)-2-methyl propyl propanoate",Musk like,Fruity,Pear
1217-08-9,"2-(1,1,2,3,3-Pentamethylindan-5-yl)-1-propanol",Musk like,Floral,Warm
67634-11-1,"2-(1,1-Dimethylethyl)-4-methylcyclohexan-1-ol",Woody,Earthy,Fresh
5947-36-4,2(10)-Pinen-3-ol,Herbal,Woody,Pine
7399-50-0,2-(1-Ethylpropyl)pyridine,Green,Galbanum,Bell Pepper
37172-02-4,2-(1-Methylpropyl)-1-vinylcyclohexyl acetate,Woody,Amber,Dry
929625-08-1,"2-(2,2,7,7-Tetramethyltricyclo[6.2.1.01,6]undec-5-en-5-yl)propan-1-ol",Amber,Woody,Cedarwood
2226-05-3,"2-(3,3-Dimethylbicyclo[2.2.1]hept-2-ylidene)ethanol",Woody,Patchouli,Camphoraceous
68133-79-9,"2-(3,7-Dimethyl-2,6-octadienyl)cyclopentanone",Fruity,Peach,Plum
92015-65-1,"2(3H)-Benzofuranone, hexahydro-3,6-dimethyl-",Fruity,Coconut,Tropical-Fruit
4359-47-1,"2-(3-Heptyl)-1,3-dioxolane",Green,Fruity,Floral
2110-18-1,2-(3-Phenylpropyl)pyridine,Spicy,Fresh,Green
3208-40-0,2-(3-Phenylpropyl)tetrahydrofuran,Fruity,Sweet,Green
80417-97-6,"2(4H)-Benzofuranone, 5,6-dihydro-3,6-dimethyl-",Gourmand,Sweet,Coconut
34291-99-1,2-(4-Isopropylphenyl)propionaldehyde,Green,Floral,Muguet
80819-94-9,2-(4-Methyl-1-phenyl)-2-propanethiol,Fruity,Grapefruit,Sulfurous
65817-24-5,2-(4-Methyl-2-hydroxyphenyl)propionic acid-gamma-lactone,Aromatic,Minty,Sweet
94159-31-6,2-(4-Methyl-5-thiazolyl)ethyl butanoate,Food Like,Nutty,Savoury
15149-10-7,2-(4-Methylphenoxy)ethanol,Floral,Anisic,Honey
1333-58-0,2-(Methylpropyl)quinoline,Herbal,Powerful,Leathery
95962-14-4,2-(p-Menth-1-ene-10-yl)cyclopentanone,Fruity,Peach,Apricot
99-72-9,2-(p-Tolyl)propionaldehyde,Green,Floral,Aldehydic
