Stimulus,Subject,Normalization,Ave EAG Response
E2-Hexenal,HsOr174,Paraffin,322.8333333333333
E2-Hexenal,HsOr175,Paraffin,230.66666666666666
E2-Hexenal,HsOr177,Paraffin,229.8
E2-Hexenal,HsOr182,Paraffin,219.0
E2-Hexenal,HsOr183,Paraffin,233.16666666666666
E2-Hexenal,HsOr188,Paraffin,279.8
E2-Hexenal,HsOr190,Paraffin,193.16666666666666
E2-Hexenal,HsOr20,Paraffin,299.125
E2-Hexenal,HsOr209,Paraffin,224.4
E2-Hexenal,HsOr210,Paraffin,213.0
E2-Hexenal,HsOr212,Paraffin,204.2
E2-Hexenal,HsOr224,Paraffin,227.16666666666666
E2-Hexenal,HsOr236,Paraffin,175.16666666666666
E2-Hexenal,HsOr259-L2,Paraffin,286.4
E2-Hexenal,HsOr271,Paraffin,209.66666666666666
E2-Hexenal,HsOr32,Paraffin,261.1666667
E2-Hexenal,HsOr35,Paraffin,248.66666666666666
E2-Hexenal,HsOr36,Paraffin,184.0
E2-Hexenal,HsOr37,Paraffin,237.66666666666666
E2-Hexenal,HsOr378,Paraffin,268.6666666666667
E2-Hexenal,HsOr4,Paraffin,211.5
E2-Hexenal,HsOr55,Paraffin,378.86
E2-Hexenal,HsOr59,Paraffin,225.83333333333334
E2-Hexenal,NoUAS,Paraffin,275.5
Et. Isovalerate,HsOr161,Paraffin,316.5
Et. Isovalerate,HsOr170,Paraffin,241.83333333333334
Et. Isovalerate,HsOr174,Paraffin,259.5
Et. Isovalerate,HsOr175,Paraffin,170.66666666666666
Et. Isovalerate,HsOr177,Paraffin,232.0
Et. Isovalerate,HsOr182,Paraffin,236.6
Et. Isovalerate,HsOr183,Paraffin,184.83333333333334
