CID,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates
8073,0.01773,0.132,0.63,0.0,0.38,2.433,0.7466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8076,0.23657,0.237,0.55,0.29,0.82,2.719,0.7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8077,2.69897,0.671,0.54,0.0,0.27,4.036,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8078,-0.39794,0.305,0.1,0.0,0.0,2.964,0.8454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8083,2.0,0.434,0.79,0.06,0.91,3.289,0.7221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
8095,1.3098,0.099,0.79,0.0,0.79,3.747,1.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8103,1.5904625,0.21,0.42,0.37,0.48,3.61,1.0127,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.25,3
8106,4.82391,0.361,0.42,0.0,0.21,4.133,1.1175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8121,1.032,0.169,0.81,0.0,0.9,3.937,1.1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
8125,-2.31,0.094,0.08,0.0,0.07,3.568,1.1928,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
8129,1.65938,0.211,0.42,0.37,0.48,4.115,1.1536,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1
8130,2.633865,0.14,0.65,0.0,0.45,3.865,1.1106,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,1
8133,1.183265,0.201,0.53,0.26,0.83,3.656,1.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1
8141,-0.34242,0.0,0.0,0.0,0.0,4.182,1.3767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8148,1.097,0.107,0.3,0.08,0.69,4.349,1.3356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
8159,0.01,0.05,0.6,0.0,0.45,4.796,1.4511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
8160,0.958,0.062,0.8,0.0,0.8,4.7,1.3689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
8164,1.05,0.046,0.6,0.0,0.45,5.27,1.592,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,3.0,0.5,1
8167,0.5,0.041,0.6,0.0,0.45,6.24,1.8738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
8174,3.11351,0.191,0.42,0.37,0.48,5.6095,1.5763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8175,3.39794,0.128,0.65,0.0,0.45,5.301,1.5333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8182,0.95861,0.0,0.0,0.0,0.0,5.696,1.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8205,1.36,0.038,0.6,0.0,0.45,7.219,2.1556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
8252,-1.23297,0.103,0.08,0.0,0.07,0.946,0.4883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1
8255,-1.0,0.12,0.08,0.0,0.08,1.5787,0.6292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8471,2.26761,0.101,0.15,0.0,0.79,3.04,1.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8657,2.02687,0.688,0.54,0.0,0.18,4.732,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8723,1.398,0.219,0.39,0.37,0.48,3.011,0.8788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
8821,3.58503,0.212,0.64,0.0,0.42,2.758,0.8445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8846,3.25964,0.177,0.62,0.0,0.42,3.79,1.1263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8857,-0.59213,0.106,0.62,0.0,0.45,2.314,0.7466,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.75,3
