sub ID,recording,cell,odor series,region
170613_bulb_bank1_4_13_B,170613_bulb_bank1,4,13,B
170613_bulb_bank1_5_13_B,170613_bulb_bank1,5,13,B
170613_bulb_bank1_6_13_B,170613_bulb_bank1,6,13,B
170613_bulb_bank1_7_13_B,170613_bulb_bank1,7,13,B
170613_bulb_bank1_8_13_B,170613_bulb_bank1,8,13,B
170613_bulb_bank1_9_13_B,170613_bulb_bank1,9,13,B
170613_bulb_bank1_10_13_B,170613_bulb_bank1,10,13,B
170613_bulb_bank1_11_13_B,170613_bulb_bank1,11,13,B
170613_bulb_bank1_12_13_B,170613_bulb_bank1,12,13,B
170613_bulb_bank1_13_13_B,170613_bulb_bank1,13,13,B
170613_bulb_bank1_14_13_B,170613_bulb_bank1,14,13,B
170613_bulb_bank1_15_13_B,170613_bulb_bank1,15,13,B
170613_bulb_bank1_16_13_B,170613_bulb_bank1,16,13,B
170613_bulb_bank1_17_13_B,170613_bulb_bank1,17,13,B
170613_bulb_bank1_18_13_B,170613_bulb_bank1,18,13,B
170613_bulb_bank1_19_13_B,170613_bulb_bank1,19,13,B
170613_bulb_bank1_20_13_B,170613_bulb_bank1,20,13,B
170613_bulb_bank1_0_14_B,170613_bulb_bank1,0,14,B
170613_bulb_bank1_1_14_B,170613_bulb_bank1,1,14,B
170613_bulb_bank1_2_14_B,170613_bulb_bank1,2,14,B
170613_bulb_bank1_3_14_B,170613_bulb_bank1,3,14,B
170613_bulb_bank1_4_14_B,170613_bulb_bank1,4,14,B
170613_bulb_bank1_5_14_B,170613_bulb_bank1,5,14,B
170613_bulb_bank1_6_14_B,170613_bulb_bank1,6,14,B
170613_bulb_bank1_7_14_B,170613_bulb_bank1,7,14,B
170613_bulb_bank1_8_14_B,170613_bulb_bank1,8,14,B
170613_bulb_bank1_9_14_B,170613_bulb_bank1,9,14,B
170613_bulb_bank1_10_14_B,170613_bulb_bank1,10,14,B
170613_bulb_bank1_11_14_B,170613_bulb_bank1,11,14,B
170613_bulb_bank1_12_14_B,170613_bulb_bank1,12,14,B
170613_bulb_bank1_13_14_B,170613_bulb_bank1,13,14,B
170613_bulb_bank1_14_14_B,170613_bulb_bank1,14,14,B
170613_bulb_bank1_15_14_B,170613_bulb_bank1,15,14,B
170613_bulb_bank1_16_14_B,170613_bulb_bank1,16,14,B
170613_bulb_bank1_17_14_B,170613_bulb_bank1,17,14,B
170613_bulb_bank1_18_14_B,170613_bulb_bank1,18,14,B
170613_bulb_bank1_19_14_B,170613_bulb_bank1,19,14,B
170613_bulb_bank1_20_14_B,170613_bulb_bank1,20,14,B
170613_bulb_bank1_0_15_B,170613_bulb_bank1,0,15,B
170613_bulb_bank1_1_15_B,170613_bulb_bank1,1,15,B
170613_bulb_bank1_2_15_B,170613_bulb_bank1,2,15,B
170613_bulb_bank1_3_15_B,170613_bulb_bank1,3,15,B
170613_bulb_bank1_4_15_B,170613_bulb_bank1,4,15,B
170613_bulb_bank1_5_15_B,170613_bulb_bank1,5,15,B
170613_bulb_bank1_6_15_B,170613_bulb_bank1,6,15,B
170613_bulb_bank1_7_15_B,170613_bulb_bank1,7,15,B
170613_bulb_bank1_8_15_B,170613_bulb_bank1,8,15,B
170613_bulb_bank1_9_15_B,170613_bulb_bank1,9,15,B
170613_bulb_bank1_10_15_B,170613_bulb_bank1,10,15,B
170613_bulb_bank1_11_15_B,170613_bulb_bank1,11,15,B
170613_bulb_bank1_12_15_B,170613_bulb_bank1,12,15,B
170613_bulb_bank1_13_15_B,170613_bulb_bank1,13,15,B
170613_bulb_bank1_14_15_B,170613_bulb_bank1,14,15,B
170613_bulb_bank1_15_15_B,170613_bulb_bank1,15,15,B
170613_bulb_bank1_16_15_B,170613_bulb_bank1,16,15,B
170613_bulb_bank1_17_15_B,170613_bulb_bank1,17,15,B
170613_bulb_bank1_18_15_B,170613_bulb_bank1,18,15,B
170613_bulb_bank1_19_15_B,170613_bulb_bank1,19,15,B
170613_bulb_bank1_20_15_B,170613_bulb_bank1,20,15,B
170613_bulb_bank1_0_16_B,170613_bulb_bank1,0,16,B
170613_bulb_bank1_1_16_B,170613_bulb_bank1,1,16,B
170613_bulb_bank1_2_16_B,170613_bulb_bank1,2,16,B
170613_bulb_bank1_3_16_B,170613_bulb_bank1,3,16,B
170613_bulb_bank1_4_16_B,170613_bulb_bank1,4,16,B
170613_bulb_bank1_5_16_B,170613_bulb_bank1,5,16,B
170613_bulb_bank1_6_16_B,170613_bulb_bank1,6,16,B
170613_bulb_bank1_7_16_B,170613_bulb_bank1,7,16,B
170613_bulb_bank1_8_16_B,170613_bulb_bank1,8,16,B
170613_bulb_bank1_9_16_B,170613_bulb_bank1,9,16,B
170613_bulb_bank1_10_16_B,170613_bulb_bank1,10,16,B
170613_bulb_bank1_11_16_B,170613_bulb_bank1,11,16,B
170613_bulb_bank1_12_16_B,170613_bulb_bank1,12,16,B
170613_bulb_bank1_13_16_B,170613_bulb_bank1,13,16,B
170613_bulb_bank1_14_16_B,170613_bulb_bank1,14,16,B
170613_bulb_bank1_15_16_B,170613_bulb_bank1,15,16,B
170613_bulb_bank1_16_16_B,170613_bulb_bank1,16,16,B
170613_bulb_bank1_17_16_B,170613_bulb_bank1,17,16,B
170613_bulb_bank1_18_16_B,170613_bulb_bank1,18,16,B
170613_bulb_bank1_19_16_B,170613_bulb_bank1,19,16,B
170613_bulb_bank1_20_16_B,170613_bulb_bank1,20,16,B
170613_bulb_bank1_0_17_B,170613_bulb_bank1,0,17,B
170613_bulb_bank1_1_17_B,170613_bulb_bank1,1,17,B
170613_bulb_bank1_2_17_B,170613_bulb_bank1,2,17,B
170613_bulb_bank1_3_17_B,170613_bulb_bank1,3,17,B
170613_bulb_bank1_4_17_B,170613_bulb_bank1,4,17,B
170613_bulb_bank1_5_17_B,170613_bulb_bank1,5,17,B
170613_bulb_bank1_6_17_B,170613_bulb_bank1,6,17,B
170613_bulb_bank1_7_17_B,170613_bulb_bank1,7,17,B
170613_bulb_bank1_8_17_B,170613_bulb_bank1,8,17,B
170613_bulb_bank1_9_17_B,170613_bulb_bank1,9,17,B
170613_bulb_bank1_10_17_B,170613_bulb_bank1,10,17,B
170613_bulb_bank1_11_17_B,170613_bulb_bank1,11,17,B
170613_bulb_bank1_12_17_B,170613_bulb_bank1,12,17,B
170613_bulb_bank1_13_17_B,170613_bulb_bank1,13,17,B
170613_bulb_bank1_14_17_B,170613_bulb_bank1,14,17,B
170613_bulb_bank1_15_17_B,170613_bulb_bank1,15,17,B
170613_bulb_bank1_16_17_B,170613_bulb_bank1,16,17,B
170613_bulb_bank1_17_17_B,170613_bulb_bank1,17,17,B
170613_bulb_bank1_18_17_B,170613_bulb_bank1,18,17,B
170613_bulb_bank1_19_17_B,170613_bulb_bank1,19,17,B
170613_bulb_bank1_20_17_B,170613_bulb_bank1,20,17,B
170613_bulb_bank1_0_18_B,170613_bulb_bank1,0,18,B
170613_bulb_bank1_1_18_B,170613_bulb_bank1,1,18,B
170613_bulb_bank1_2_18_B,170613_bulb_bank1,2,18,B
170613_bulb_bank1_3_18_B,170613_bulb_bank1,3,18,B
170613_bulb_bank1_4_18_B,170613_bulb_bank1,4,18,B
170613_bulb_bank1_5_18_B,170613_bulb_bank1,5,18,B
170613_bulb_bank1_6_18_B,170613_bulb_bank1,6,18,B
170613_bulb_bank1_7_18_B,170613_bulb_bank1,7,18,B
170613_bulb_bank1_8_18_B,170613_bulb_bank1,8,18,B
170613_bulb_bank1_9_18_B,170613_bulb_bank1,9,18,B
170613_bulb_bank1_10_18_B,170613_bulb_bank1,10,18,B
170613_bulb_bank1_11_18_B,170613_bulb_bank1,11,18,B
170613_bulb_bank1_12_18_B,170613_bulb_bank1,12,18,B
170613_bulb_bank1_13_18_B,170613_bulb_bank1,13,18,B
170613_bulb_bank1_14_18_B,170613_bulb_bank1,14,18,B
170613_bulb_bank1_15_18_B,170613_bulb_bank1,15,18,B
170613_bulb_bank1_16_18_B,170613_bulb_bank1,16,18,B
170613_bulb_bank1_17_18_B,170613_bulb_bank1,17,18,B
170613_bulb_bank1_18_18_B,170613_bulb_bank1,18,18,B
170613_bulb_bank1_19_18_B,170613_bulb_bank1,19,18,B
170613_bulb_bank1_20_18_B,170613_bulb_bank1,20,18,B
170613_bulb_bank1_0_19_B,170613_bulb_bank1,0,19,B
170613_bulb_bank1_1_19_B,170613_bulb_bank1,1,19,B
