CID,Flavor Profile: ,FEMA Flavor Profile: ,Taste: ,Odor: 
6826,"orange, powdery, neroli, wine, grape, musty, sweet, fruity, blossom, phenolic","Floral, Must","musty, grape-like flavor, somewhat more berry-like than grape",orange & mandarin-peel-like odor
6847,bitter,,,
6849,bitter,,,odorless
6873,"herbal, floral, clover, bitter, orchid",Floral,,
6874,"wintergreen, tobacco, metallic, floral, soapy, herbal, woody, bitter, orchid",Fruit,,
6877,"grape, floral, wintergreen, sweet, blossom, orange blossom",Floral,faint orange-flowers taste,"fruity odor
faint orange-flowers odor"
6885,"coconut, lactonic, powdery, coumarin, sweet, phenolic, tonka",,,
6902,sweet,,,
6904,sweet,,about as sweet as sucrose,
6912,"odorless, sweet",,relative sweetness equal to sucrose,
6915,"sour, caramel, berry, acidic, whiskey, fruity, dry",Fruit,,
6919,odorless,,,
6920,"sulfur, sulfury",,,
6930,musky,,,
6943,"phenolic, medicinal, creosote",Heat,,
6949,"guaiacwood, powdery, spice, sweet, woody, wood, spicy, dry",,,
6954,bitter,,intensely bitter,odorless
6981,odorless,,,
6985,"floral, woody, sweet, minty, mimosa",Floral,,
6986,"mint, fresh, peppermint, sweet, cool, minty, green","Green, Fresh, Mint & Mint, Cool",bitter,"slight peppermint odor
characteristic odor similar to menthol"
6987,"mint, herbal, fresh, fruit, sweet, minty, medicinal, camphor",,,
6988,"lime, herbal, buchu, fresh, peppermint, minty, camphor","Mint, Cool",,"pleasant odor, midway between peppermint and camphor"
6989,"herbal, thyme, camphor, medicinal, phenolic","Spice, Wood","pungent, caustic
sweet, medicinal, spicy
aromatic taste","odor of thyme
a spicy-herbal, slightly medicinal odor reminiscent of thyme
aromatic odor"
6998,"cooling, medical, wintergreen, spicy, cinnamon","Almond, Phenol, Pungent, Spice","nut-like, coumarin flavor at low levels
burning taste
spicy, nut taste","bitter almond-like odor
pungent, irritating odor similar to benzenaldehyde, acetophenone, & nitrobenzene, but with phenolic notes
phenolic odor"
7002,"naphthyl, medicinal, chemical, camphor",,,
7017,,,,"mild characteristic odor
sweetish odor
phenolic odor"
7020,bitter,,,
7027,odorless,,sweet taste,
7028,bitter,,,
7041,"smoke, powdery, balsamic, smoky, bacon, phenol, woody, medicine, phenolic",Phenol,,
7043,"vanilla, musty, creamy, sweet, phenolic","Earth, Moss, Wood",,
7047,"rubber, tobacco, medical, musty, earthy",,,"penetrating odor, not as offensive as pyridine
unpleasant odor"
7055,,,,
7058,"sulfurous, roasted, rubbery, woody, creamy, artichoke, meaty",Savory,,
7059,"tobacco, castoreum, leather, fecal, civet, tonka",,,
