behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
CIT,0,0,5.00,8.54,6,10,28.66,71.16,17.56,72.25,10,10,0.00,0,28.79,20,43,9.17765
CIT,0.19,1,3.90,4.76,4,6,28.10,87.81,16.14,58.57,7,7,0.52,2,8.82,5,12,4.11222
CIT,0,0,2.56,7.36,3,8,21.71,59.66,25.55,79.62,8,5,0.75,2,2.34,2,32,5.47906
CIV,6.5,2,5.53,13.95,7,14,27.57,80.78,18.98,70.59,10,8,0.53,2,3.30,3,36,6.85902
CIV,0,0,0.68,8.93,1,8,17.27,71.64,22.01,55.90,4,1,0.37,1,1.06,1,16,3.43221
CIV,0,0,2.06,9.18,4,9,24.58,74.47,26.10,67.04,7,6,0.00,0,2.16,6,22,5.50754
CIV,0,0,1.98,8.96,3,9,11.28,56.48,37.45,91.21,7,7,2.06,3,2.37,1,22,3.99534
CIV,0,0,1.07,13.53,2,7,9.63,71.41,44.91,71.66,5,4,0.27,1,0.00,0,16,3.49542
CIV,0,0,1.06,7.19,3,14,18.33,62.60,25.55,80.90,15,13,1.20,3,0.59,3,33,7.89899
CTN,0,0,3.51,8.33,5,11,23.39,60.56,22.25,64.32,8,6,4.69,4,5.25,9,32,5.48364
CTN,3.5,2,3.70,8,4,10,27.25,87.59,23.11,61.90,6,3,0.00,0,13.84,19,30,6.96685
CTN,0,0,1.66,8.26,5,6,16.90,45.62,30.12,105.47,3,2,1.43,5,21.11,20,21,6.99394
CTN,0,0,0.40,7.98,1,12,11.82,56.84,38.72,90.49,12,10,2.37,2,2.79,6,30,6.88411
CTN,3.38,2,2.90,8.81,6,11,33.10,89.06,14.61,52.01,9,7,10.56,5,1.85,4,28,5.7542
DMB,2.16,1,3.59,7.21,4,9,27.22,66.68,20.21,73.03,2,2,10.06,10,2.59,5,24,6.02321
DMB,10.96,2,3.64,6.27,4,9,29.40,76.55,15.32,53.57,3,2,0.75,3,2.09,2,21,4.52878
DMB,15.44,6,7.88,13.69,6,12,19.78,74.42,30.89,77.61,3,2,0.00,0,4.26,5,12,4.00328
DMB,7.87,3,3.67,11.51,5,14,27.26,75.08,17.44,66.07,5,4,3.28,3,1.35,2,27,5.9679
DMB,6.59,4,3.46,11.91,6,16,19.79,76.91,25.46,67.22,7,7,0.81,3,12.33,10,18,7.57012
DMC,0,0,1.80,4.65,4,10,16.54,53.33,32.81,84.74,6,4,0.00,0,0.00,0,21,5.57705
DMC,5.93,1,1.47,9.5,4,11,15.40,62.48,36.65,95.73,10,7,13.53,5,0.00,0,20,4.32066
DMC,0,0,0.67,3.77,2,4,13.55,34.15,29.25,121.05,5,4,0.00,0,0.00,0,14,3.33832
DMC,0,0,0.43,4.63,2,7,11.96,55.96,43.20,108.95,11,5,2.73,6,0.00,0,12,3.60742
DMC,0,0,2.34,6.72,5,11,21.74,69.31,27.03,67.05,8,6,2.02,3,0.00,0,20,5.02101
DME,7.59,2,2.51,14.6,5,8,19.09,90.63,21.91,58.21,14,11,1.41,3,0.18,1,16,6.49984
DME,5.22,1,3.16,11.5,3,10,21.83,76.14,24.81,63.16,1,1,1.69,4,0.00,0,14,4.11699
DME,4.88,1,4.58,10.16,5,11,23.28,69.13,23.68,71.24,7,5,1.16,4,0.19,1,19,5.42952
DME,4.35,1,5.22,11.43,4,9,26.17,75.83,18.44,62.68,3,2,0.64,3,2.32,1,22,5.34156
DME,0,0,1.59,6.26,3,8,12.62,54.65,30.10,81.90,9,5,2.63,10,0.29,1,17,4.44725
DMO,0,0,1.92,5.55,6,15,20.39,62.99,18.19,64.36,12,9,2.23,9,6.16,8,25,7.50219
DMO,0,0,2.17,4.69,4,9,22.20,48.27,22.00,73.50,9,5,6.52,5,0.00,0,16,3.78534
DMO,0,0,0.37,4.02,1,6,16.75,47.63,34.71,101.90,6,3,2.40,8,0.00,0,27,5.4145
DMO,0,0,1.65,4.04,3,8,8.59,51.88,42.03,96.91,7,3,0.47,2,0.00,0,16,3.53386
DMO,0,0,2.27,10.81,5,11,15.39,61.16,25.16,62.34,10,6,1.44,6,0.00,0,32,7.275
DMO,0,0,1.18,7.08,3,8,17.41,74.33,32.03,81.13,3,2,0.00,0,6.97,9,30,6.13532
DMO,0,0,1.34,5.68,3,8,24.46,70.05,21.84,58.45,7,6,0.49,2,6.59,9,28,5.51565
DMP,0,0,2.90,5.03,4,6,24.12,45.11,26.18,105.67,2,0,0.60,2,0.00,0,13,2.96874
DMP,0,0,2.47,5.69,5,11,23.53,62.54,24.19,86.91,7,5,2.38,7,0.59,1,23,5.40263
DMP,1.47,1,2.03,6.49,4,9,22.25,67.61,26.39,74.83,6,3,1.14,4,0.00,0,18,4.35619
DMP,2.16,1,8.69,12.71,6,12,33.31,90.18,16.07,55.13,9,5,14.59,3,0.21,1,13,5.55724
DMP,6.47,1,4.23,8.23,4,12,31.36,60.77,20.75,63.43,5,2,12.49,8,0.00,0,16,3.39825
EBT,0,0,0.87,6.95,2,6,12.02,44.43,33.42,86.48,4,2,4.76,6,0.00,0,13,3.16137
EBT,0,0,3.69,9.49,3,9,20.79,72.68,21.76,50.68,4,1,2.26,9,0.00,0,21,4.61677
EBT,0,0,1.63,6.51,3,13,NA,NA,NA,NA,5,3,0.00,0,21.28,22,9,6.26633
EBT,0,0,1.69,5.68,2,7,15.64,56.57,31.37,92.37,6,2,1.91,7,0.59,1,16,2.57028
EBT,25.74,5,1.90,9.21,2,14,NA,NA,NA,NA,5,4,10.18,7,0.00,0,15,3.47523
EDM,0,0,1.95,6.1,3,10,14.91,66.62,22.70,60.22,6,4,0.63,2,15.02,15,14,6.37657
EDM,0,0,3.15,6.81,5,10,26.02,70.39,22.08,76.30,8,5,0.00,0,6.09,7,12,5.37293
