"Subject","Comparison.number","TrialOrderInSession","Choice","CorrectChoiceOnScreen","IsCorrect","RT_Discrimination","Confidence","RT_Confidence","Mixture.number","Mixture.number.1","Experiment"
"W438",5,13,1,1,1,17.08301653,0.830924855,1.231460441,5,15,"Exp4"
"W438",6,4,1,3,0,22.16912909,0.988728324,1.737749125,6,16,"Exp4"
"W438",7,6,1,2,0,20.09249018,0.652312139,1.118465537,7,17,"Exp4"
"W438",8,9,1,3,0,33.36521835,0.583815029,1.008351557,8,18,"Exp4"
"W438",9,7,2,2,1,21.09046409,0.778901734,1.406034503,9,19,"Exp4"
"W438",10,11,1,3,0,22.07709475,0.737283237,1.024152379,10,20,"Exp4"
"W438",11,12,1,3,0,14.46493116,0.971387283,1.538154173,21,31,"Exp4"
"W438",12,8,3,1,0,16.24277887,0.983526012,0.830252137,22,32,"Exp4"
"W438",13,15,1,3,0,16.78834425,0.634971098,1.376441852,23,33,"Exp4"
"W438",14,5,3,1,0,20.86868256,0.987861272,1.323827895,24,34,"Exp4"
"W438",15,16,2,3,0,21.72251705,0.786705202,1.766080276,25,35,"Exp4"
"W438",16,19,2,2,1,15.34104031,0.984393064,1.337888702,26,36,"Exp4"
"W438",17,2,1,3,0,18.96711462,0.830057803,1.340442491,27,37,"Exp4"
"W438",18,14,1,3,0,25.48549831,0.84132948,1.06434334,28,38,"Exp4"
"W438",19,20,2,1,0,15.6049166,0.954046243,1.192116609,29,39,"Exp4"
"W438",20,3,2,2,1,20.33864817,0.993930636,0.967501623,30,40,"Exp4"
"W438",1,2,2,2,1,26.61545846,0.701734104,1.036118241,1,11,"Exp4"
"W438",2,20,3,1,0,36.62377025,0.486705202,1.012304115,2,12,"Exp4"
"W438",3,16,1,1,1,16.92925765,0.967052023,0.726354145,3,13,"Exp4"
"W438",4,8,2,1,0,18.82306928,0.956647399,1.280220621,4,14,"Exp4"
"W438",5,11,1,1,1,16.91480984,0.985260116,1.239649072,5,15,"Exp4"
"W438",6,12,3,3,1,32.16755071,0.453757225,1.239642658,6,16,"Exp4"
"W438",7,1,1,2,0,18.02221352,0.960115607,1.092485052,7,17,"Exp4"
"W438",8,3,3,3,1,17.96555164,0.855202312,1.614238443,8,18,"Exp4"
"W438",9,7,2,3,0,28.08133553,0.944508671,1.074227513,9,19,"Exp4"
"W438",10,4,1,3,0,17.69126264,0.787572254,1.382233633,10,20,"Exp4"
"W438",11,13,1,1,1,25.95060265,0.791040462,1.336049051,21,31,"Exp4"
"W438",12,5,3,3,1,18.85283726,0.992196532,1.112072939,22,32,"Exp4"
"W438",13,18,1,1,1,23.39700516,0.76849711,0.869817053,23,33,"Exp4"
"W438",14,19,1,2,0,14.10043849,0.889884393,0.883965523,24,34,"Exp4"
"W438",15,10,3,3,1,34.62133278,0.530924855,1.520282354,25,35,"Exp4"
