Stimulus,Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Dilution2,Dilution3
259,mixture,Exp1,6544;62433;7519;7685;3314,M1003,,3,26.0,100.00%,,
260,mixture,Exp1,31276;8148;7762;18827;7714,M1004,,4,25.0,100.00%,,
261,mixture,Exp1,7519;8148;31252;8103;7710;11002,M1005,,5,24.0,100.00%,,
262,mixture,Exp1,7410;326;2758;62444;7770;1140,M1006,,6,23.0,100.00%,,
263,mixture,Exp1,240;637511;7731;2758;12178;62336;8635,M1007,,7,22.0,100.00%,,
264,mixture,Exp1,31276;62433;8129;12178;7519;18827;10722,M1008,,8,21.0,100.00%,,
265,mixture,Exp1,6544;93009;8130;8103;7710;7059;8918;7714,M1009,,9,20.0,100.00%,,
266,mixture,Exp1,7410;5281168;8797;7519;8129;7710;6654;8030,M1010,,10,19.0,100.00%,,
267,mixture,Exp1,62433;8797;2758;3314;8635;61138;11002;6054;10722,M1011,,11,18.0,100.00%,,
268,mixture,Exp1,5281168;637511;7685;12178;4133;7991;6054;7770;7714,M1012,,12,17.0,100.00%,,
269,mixture,Exp1,8797;7731;7966;3314;62336;7059;7991;61138;6054;11002,M1013,,13,16.0,100.00%,,
270,mixture,Exp1,240;2758;8130;8129;7710;7059;4133;8918;957;6654,M1014,,14,15.0,100.00%,,
271,mixture,Exp2,556940;7601;11086;61670,M2001,,1,28.0,100.00%,,
272,mixture,Exp2,62351;565690;10925;7593,M2002,,2,27.0,100.00%,,
273,mixture,Exp2,5363233;89440;126;11980;61293,M2003,,3,26.0,100.00%,,
274,mixture,Exp2,7194;520296;61670;637776;23642,M2004,,4,25.0,100.00%,,
275,mixture,Exp2,126;520296;7122;6050;5273467;5364231,M2005,,5,24.0,100.00%,,
276,mixture,Exp2,2214;556940;8180;8077;325;11086,M2006,,6,23.0,100.00%,,
277,mixture,Exp2,7601;778574;61331;8180;17121;24834;7593,M2007,,7,22.0,100.00%,,
278,mixture,Exp2,7194;89440;6560;17121;126;637776;9012,M2008,,8,21.0,100.00%,,
279,mixture,Exp2,5363233;10925;5365049;6050;5273467;31219;7765;23642,M2009,,9,20.0,100.00%,,
280,mixture,Exp2,62351;1550470;7657;6997;6560;5273467;18554;2214,M2010,,10,19.0,100.00%,,
281,mixture,Exp2,89440;7657;7122;61293;7593;5367698;5364231;14104;9012,M2011,,11,18.0,100.00%,,
282,mixture,Exp2,1550470;778574;11980;61771;6998;444972;14104;325;23642,M2012,,12,17.0,100.00%,,
283,mixture,Exp2,7657;61331;61771;61293;24834;31219;444972;5367698;14104;5364231,M2013,,13,16.0,100.00%,,
284,mixture,Exp2,565690;8180;5365049;6560;8077;31219;6998;7765;6997;18554,M2014,,14,15.0,100.00%,,
285,mixture,"Exp4,5",7799;176;7363;14286;8025;6561;11552;12020;22386;9609;84682;8063;8857;7895;7284;11173;8103;637566;638011;10890;24915;3314;8842;10430,M1,M11,1,,100.00%,,
286,mixture,"Exp4,5",7799;6590;61138;11552;62336;9609;6276;7895;7284;261;5284503;637566;31266;10430,M2,M12,2,,100.00%,,
287,mixture,"Exp4,5",7799;7150;14286;264;11552;62336;263;9609;7895;261;8103;8842;10430,M3,M13,3,,100.00%,,
288,mixture,"Exp4,5",7799;1068;3776;61138;7793;264;527;263;84682;10448;7284;11173;5318042;637566;638011;10890;24915,M4,M14,4,,100.00%,,
289,mixture,"Exp4,5",1068;6590;1031;176;180;3776;7363;7150;14286;8025;6561;443158;22386;1032;6569;84682;8063;6276;8857;7895;261;5284503;5318042;8103;10890;24915;31266;10430,M5,M15,5,,100.00%,,
290,mixture,"Exp4,5",7799;6590;31244;176;7150;8025;7793;443158;11552;1032;8063;7284;5284503;5318042;638011;24915;10430,M6,M16,6,,100.00%,,
291,mixture,"Exp4,5",31244;176;180;3776;7363;7150;14286;19310;443158;11552;22386;62336;263;9609;8063;7895;5284503;5318042;638011;637776;10430,M7,M17,7,,100.00%,,
292,mixture,"Exp4,5",6590;31244;180;3776;7363;14286;61138;6561;443158;11552;12020;62336;263;84682;8063;6276;10448;7895;11173;261;5284503;5318042;638011;10890;8842,M8,M18,8,,100.00%,,
293,mixture,"Exp4,5",7799;7363;61138;8025;443158;264;12020;527;263;1032;84682;10448;7895;7284;11173;8103;637566;638011;24915;31266,M9,M19,9,,100.00%,,
294,mixture,"Exp4,5",7799;1068;6590;31244;7150;61138;7793;443158;22386;5284503;637566;10890;8842,M10,M20,10,,100.00%,,
295,mixture,"Exp4,5",7799;1068;6590;31244;176;180;7150;61138;8025;6561;443158;22386;62336;527;9609;1032;6569;84682;6276;10448;8857;7895;11173;5284503;5318042;8103;637566;638011;637776;10890,M11,M1,11,,100.00%,,
296,mixture,"Exp4,5",1068;6590;31244;1031;176;180;3776;7363;7150;7793;12020;6584;1032;6569;8857;637566;10430,M12,M2,12,,100.00%,,
297,mixture,"Exp4,5",7799;1031;176;180;14286;8025;6561;7793;264;11552;12020;22386;263;6584;84682;8063;5284503;5318042;8103;3314;10430,M13,M3,13,,100.00%,,
298,mixture,"Exp4,5",7799;6590;31244;1031;180;3776;7363;7150;14286;61138;19310;443158;264;12020;22386;62336;527;263;6584;1032;84682;6276;7895;7284;5284503;638011;637776;24915;31266,M14,M4,14,,100.00%,,
299,mixture,"Exp4,5",1031;7363;14286;19310;12020;263;1032;6569;8063;6276;7895;7284;3314;10430,M15,M5,15,,100.00%,,
300,mixture,"Exp4,5",31244;7150;8025;11552;22386;6584;6569;6276;10448;7895;7284;261;5284503;638011;637776;8842;10430,M16,M6,16,,100.00%,,
301,mixture,"Exp4,5",7799;1068;6590;1031;7150;61138;8025;19310;6561;7793;11552;12020;263;6276;10448;7895;261;5284503;5318042;638011;637776;8842;10430,M17,M7,17,,100.00%,,
302,mixture,"Exp4,5",6590;31244;176;180;7363;7150;61138;8025;19310;6561;443158;11552;12020;62336;263;9609;1032;6276;10448;7895;7284;8103;638011;637776;24915;3314,M18,M8,18,,100.00%,,
303,mixture,"Exp4,5",7799;6590;31244;1031;180;3776;7363;61138;8025;19310;6561;443158;264;22386;62336;527;263;6584;6569;10448;8857;7284;11173;261;5318042;8103;638011;637776;31266;3314,M19,M9,19,,100.00%,,
304,mixture,"Exp4,5",7799;1068;6590;31244;176;180;3776;7150;14286;61138;19310;6561;443158;11552;527;9609;1032;6569;10448;8857;7895;7284;11173;261;637566;637776;10890;31266;3314;8842,M20,M10,20,,100.00%,,
305,mixture,"Exp4,5",1068;1031;176;180;7363;61138;19310;443158;22386;62336;9609;6584;1032;6569;84682;8063;6276;5284503;8103;637566;638011;31266;3314;10430,M21,M31,21,,100.00%,,
306,mixture,"Exp4,5",31244;176;3776;6561;264;9609;6584;84682;6276;11173;261;8103;637566;637776;24915;8842,M22,M32,22,,100.00%,,
307,mixture,"Exp4,5",6590;31244;3776;7150;61138;19310;7793;22386;62336;527;9609;6584;1032;8857;7895;5284503;8103;637566;8842,M23,M33,23,,100.00%,,
308,mixture,"Exp4,5",6590;180;6561;22386;527;263;6569;10448;8857;637776,M24,M34,24,,100.00%,,
309,mixture,"Exp4,5",7799;176;7363;19310;6561;264;12020;62336;84682;8857;7895;7284;5318042;638011;24915;31266,M25,M35,25,,100.00%,,
310,mixture,"Exp4,5",6590;31244;7363;61138;19310;6561;264;1032;6569;84682;10448;261;5284503;5318042,M26,M36,26,,100.00%,,
