smiles,regression_pred_pKd
CC(=O)OC/C=C/c1ccccc1,5.9964856559696935
OC/C=C\c1ccccc1,5.3946859028904255
Nc1ccccc1C(=O)OC/C=C/c1ccccc1,5.7001063164741925
O=C(OC/C=C/c1ccccc1)c1ccccc1,5.326794242396186
CCCC(=O)OC/C=C/c1ccccc1,6.017535233026082
O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,5.433943641073721
O=COC/C=C/c1ccccc1,5.642086029388657
CC(C)C(=O)OC/C=C/c1ccccc1,6.033869348549818
CC(C)CC(=O)OC/C=C/c1ccccc1,6.477113018857076
O=C(Cc1ccccc1)OC/C=C/c1ccccc1,5.1360597151044365
CCC(=O)OC/C=C/c1ccccc1,5.7463368158459724
C/C=C(\C)C(=O)OC/C=C/c1ccccc1,5.660942809143332
CCOC(/C=C(\C)CCC=C(C)C)OCC,4.726300148730181
COC(/C=C(\C)CCC=C(C)C)OC,4.5560096890146236
CC(C)=CCC/C(C)=C/C1OCC(C)O1,4.7474334148314
CC(C)=CCC/C(C)=C/C=O,4.909476391849339
O=C(O)CC(O)(CC(=O)O)C(=O)O,4.653754259543144
CCOC(CC(C)CCC=C(C)C)OCC,4.687037716764888
CC(C)=CCC[C@@H](C)CC=O,4.699974012189168
CC(C)=CCC[C@@H](C)CCO,4.735112050250604
CC(C)=CCC[C@H](C)CCO,4.233854464468675
C=C(C)CCC[C@H](C)CCO,4.445571393408493
CC(=O)OCCC(C)CCC=C(C)C,4.864992683098995
CCCC(=O)OCCC(C)CCC=C(C)C,4.7899343869782784
CCCCCCCCCC(=O)OCCC(C)CCC=C(C)C,4.449208725065384
CCCCCCCCCCCC(=O)OCCC(C)CCC=C(C)C,4.449208725065384
CC(C)=CCCC(C)CCOC=O,4.99179873443712
CCCCCC(=O)OCCC(C)CCC=C(C)C,4.85607147733339
CC(C)=CCCC(C)CCOC(=O)C(C)C,4.66295178677353
CC(C)=CCCC(C)CCOC(=O)CC(C)C,4.851898513006574
CC(C)=CCCC(C)CCOCC=O,5.047337260196796
CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1,5.358880240060798
CCC(=O)OCCC(C)CCC=C(C)C,4.385029354555116
C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,4.355783002152942
CCCCC(=O)OCCC(C)CCC=C(C)C,4.5716758961706745
Cc1ccccc1O,5.061434657290193
Cc1cccc(O)c1,5.630636006936445
Cc1ccc(O)cc1,4.462010192704347
CC(C)C1C=CC(=O)CC1,5.609566247951652
C=C1CC[C@]23[C@H]1[C@H]2[C@H](C(C)C)CC[C@H]3C,5.413845554083936
CC(C)c1ccc(C=O)cc1,5.488871068763938
CC(=O)OCc1ccc(C(C)C)cc1,6.45691634252358
CC1=CCCC(C)(C)C1C=O,5.901886752733924
CC1=C(C=O)C(C)(C)CCC1,5.2393769827078485
O=C1CCCCCCC/C=C\CCCCCCC1,4.811095286399129
O=C(O)CC1CCCCC1,4.645877073342475
O=C(O)C1CCCCC1,4.2124521164994135
CC(=O)OCCC1CCCCC1,5.520475898690506
SC1CCCCC1,2.4477143590298387
OC1CCCCC1,2.7816517578021847
O=C1CCCCC1,4.213015696543562
CC(=O)OC1CCCCC1,4.5868305362967385
Nc1ccccc1C(=O)OC1CCCCC1,5.686618813305515
CCCC(=O)OC1CCCCC1,4.936473267863422
CCCCCC(=O)OC1CCCCC1,5.2182759999854955
O=C(/C=C/c1ccccc1)OC1CCCCC1,5.607727968008495
O=COC1CCCCC1,3.840307008169515
CC(C)C(=O)OC1CCCCC1,4.422502224990781
CC(C)CC(=O)OC1CCCCC1,5.294380843621369
CCC(=O)OC1CCCCC1,4.629326152751934
OCCC1CCCCC1,4.1906379098338125
c1cnc(CC2CCCCC2)cn1,4.740664289878575
CC1=CC=C2C(C)(C)CCCC2(C)O1,5.71224081778251
SC1CCCC1,2.2258022060086633
OC1CCCC1,2.5060264484613217
O=C1CCCC1,3.8089946741772884
O=C1CCCCCCCCCCCCC1,4.491523779615165
Cc1ccc(C(C)C)cc1,5.230305337813449
Cc1ccc(C(C)(C)O)cc1,6.0319443336707605
NC(CS)C(=O)O,4.2707649258775735
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,6.437997848144107
C/C=C/C(=O)C1C(C)=CCCC1(C)C,6.569503061015994
C/C=C\C(=O)C1=C(C)CCCC1(C)C,5.788716516578223
C/C=C/C(=O)C1=C(C)CCCC1(C)C,5.792190329026624
C/C=C/C(=O)C1C(C)C=CCC1(C)C,5.233343815922842
CCCCC/C=C/C=C/C=O,6.200833867802582
CCCCC/C=C/C=C/CO,6.112265897266492
CCCCCCC/C=C/C=C/CO,5.7099426962125195
CCCCCC1CCCC(=O)O1,6.926353309555899
CCCCC1CCCCC(=O)O1,6.782946297681272
CCCCCCC1CCC(=O)O1,6.528398645188104
CCCCCCCCCC(OCC)OCC,5.080168479438632
CCCCCCCCCC(OC)OC,4.811164750071106
CCCCCCCCCC=O,5.958818634921562
CCCCCCCCCC(=O)O,5.6892852309840025
CCCCCCCCCCO,5.049593215564722
CCCCCCCC(O)CC,5.256016314676599
CCCCCCCCC(C)=O,5.303118940466126
CCCCCCCC(=O)CC,5.508580945950931
CCCC=CC=CC=CC=O,5.6294394613907
CC/C=C\C/C=C/C=C/C=O,5.061500374077242
CCCCCCC/C=C\C=O,5.8543120928664445
CCCCCC=CCCC=O,6.390767643564419
C=CCCCCCCCC=O,5.149824979442855
CCC/C=C/C=C/CCCO,5.657961064246991
CCCCCCC/C=C/C=O,5.768617466595334
CCCCC/C=C/CCC=O,6.479218627117075
CCCCCCC/C=C\C(=O)O,6.226446216192914
CCCCCC/C=C/CC(=O)O,5.9548643457743715
CCCCC/C=C/CCC(=O)O,6.277277972030981
C=CCCCCCCCC(=O)O,5.146467746722489
C=CC(O)CCCCCCC,5.526185511176121
CCCCCCCC=CCO,5.566494157808896
C=CCCCCCCCCO,4.654875176313207
CCCCCCC1C=CC(=O)O1,6.072360360607625
CCC=CCCC1CCC(=O)O1,6.216297753524402
CC/C=C\CCC1CCC(=O)O1,6.353466804489256
C/C=C/CCC1CCCC(=O)O1,6.481198183244892
CCCCCC/C=C/C(C)=O,6.059091212747152
C=CCCCCCCCCOC(C)=O,5.936093952389145
CCCCCCCCCCOC(C)=O,5.86673692556745
CCCCCCCCCCOC(=O)CCC,5.227223701225522
CCCCCCCCCCOC=O,5.795213962549602
CCCCCCCCCCOC(=O)CC(C)C,5.843687079246597
CCCCCCCCCCOC(=O)CC,5.128878483923031
CCCCCCCCCCc1ccco1,6.4849674019808665
CC1=C(CCC(C)O)C(C)(C)CC=C1,6.209469569837779
CC(=O)CCC1=C(C)C=CCC1(C)C,6.239540479806085
Cc1ccc2c(c1)C=CCC2(C)C,5.580663581433384
CC1=C2CCC(C)C=C2OC1=O,5.714639400001137
CC(C)CCOC(=O)CCC(=O)OCCC(C)C,4.842731123049823
CC(C)CC1(CC(C)C)CSSS1,3.9712713474231385
CC(C)C1(C(C)C)CSSS1,3.2834563909051755
CC(=O)C(C)=O,4.3158945993885425
C=CCSSCC=C,4.195960236017612
C=CCSSSSSSCC=C,4.318092671495128
C=CCSSSSSCC=C,4.3482137607971385
C=CCSSSSCC=C,4.235550358239151
C=CCSSSCC=C,3.9408083840978088
c1ccc(COCc2ccccc2)cc1,4.005074523913006
