Stimulus,CID,Rep,Name,Conditions,SourceFile
8034_0,8034,0,5-methyl-2-hexanone,,5_methyl_2_hexanone_HC.csv
8035_0,8035,0,"2,5-hexanedione",250ppm,"2,5_hexanedione_dione.csv"
8051_0,8051,0,2-heptanone,,2_heptanone_keton1.csv
8051_1,8051,1,2-heptanone,,2_heptanone_keton3.csv
8058_0,8058,0,hexane,,hexane_expa.csv
8060_0,8060,0,pentylamine,1/100 in water,pentylamine_SG21.csv
8063_0,8063,0,pentanal,75,pentanal-fgrp-75.csv
8063_1,8063,1,pentanal,25 ppm,pentanal_ald1.csv
8063_2,8063,2,pentanal,25,pentanal_fgrp_25.csv
8063_3,8063,3,pentanal,250,pentanal_fgrp_250.csv
8063_4,8063,4,pentanal,7.3ppm,pentanal_fgrp_7.5.csv
8067_0,8067,0,pentanethiol,"1/1,000,000 in water",pentanethiol_SG21.csv
8091_0,8091,0,methyl octanoate,,methyloctanoate_C9Es.csv
8092_0,8092,0,methyl 2-octynoate,,methyl_2_octynoate C9Es.csv
8093_0,8093,0,2-octanone,240 ppm,2_octanone_HC.csv
8093_1,8093,1,2-octanone,25 ppm,2_octanone_kecon_25.csv
8093_2,8093,2,2-octanone,250 ppm,2_octanone_kecon_250.csv
8093_3,8093,3,2-octanone,200 ppm,2_octanone_keton1.csv
8093_4,8093,4,2-octanone,240 ppm,2_octanone_keton2.csv
8103_0,8103,0,1-hexanol,,1_hexanol_alc1.csv
8103_1,8103,1,1-hexanol,,1_hexanol_alc2.csv
8103_2,8103,2,1-hexanol,,1_hexanol_c6alca.csv
8118_0,8118,0,dipropylsulfide,"1/100,000 in water",dipropylsulfide_SG21.csv
8118_1,8118,1,dipropyl sulfide,,dipropylsulfide_SG22.csv
8125_0,8125,0,1-octene,1000ppm,1_octene_expc.csv
8129_0,8129,0,1-heptanol,30 ppm,1_heptanol_alc2.csv
8129_1,8129,1,1-heptanol,36 ppm,1_heptanol_HC.csv
8129_2,8129,2,1-heptanol,36 ppm,1_heptanol_OH2.csv
8130_0,8130,0,heptanal,25 ppm,heptanal_ald1.csv
