CID A,CID B,Subject,Rep,IA,IAmix,IB,IBmix,IAB,PA,PB,PAB
998,637758,2,1,8.6,6.5,6.6,6.6,7.2,4.3,4.3,4.3
998,637758,3,1,5.6,5.3,6.3,6.0,7.0,7.5,3.0,2.6
998,637758,5,1,6.0,5.1,4.5,5.6,5.5,3.0,4.2,4.1
998,637758,7,1,6.0,7.5,5.0,6.3,8.0,5.0,5.0,8.0
998,637758,9,1,7.0,8.4,9.1,2.3,6.7,2.0,0.8,2.3
998,637758,12,1,7.0,7.0,6.0,4.8,7.0,2.0,2.0,2.0
998,637758,14,1,9.0,9.0,7.4,8.1,8.9,4.6,5.4,4.5
998,637758,17,1,1.0,1.3,1.1,1.1,3.7,6.8,6.2,3.7
998,637758,19,1,6.0,6.6,7.0,6.7,7.2,4.0,4.0,3.3
998,637758,21,1,6.3,5.7,3.2,3.8,8.1,4.3,1.8,1.7
998,637758,22,1,5.5,6.1,5.4,5.9,6.5,4.5,5.5,3.7
998,637758,27,1,5.2,5.2,8.3,3.3,8.7,5.2,7.2,7.4
998,637758,29,1,5.5,5.0,5.0,3.5,5.3,8.0,8.0,8.0
998,637758,38,1,6.6,5.3,5.6,6.2,7.3,6.4,6.2,7.2
998,637758,39,1,6.3,7.6,3.3,3.0,7.3,4.0,6.4,1.3
998,637758,40,1,5.3,6.4,4.2,0.8,6.2,3.0,3.4,4.1
998,637758,44,1,8.0,6.4,7.0,4.2,6.0,6.7,2.7,6.3
998,637758,45,1,6.5,8.5,6.7,2.7,7.2,3.2,3.4,3.3
998,637758,46,1,8.5,6.4,5.4,6.8,8.1,6.4,5.0,5.7
998,637758,47,1,9.0,11.0,9.4,11.0,10.0,0.0,0.0,0.0
998,637758,49,1,6.7,6.0,6.0,6.0,6.0,5.7,5.1,6.0
998,637758,50,1,8.0,4.8,6.0,4.2,7.0,2.1,5.3,4.7
998,637758,51,1,5.0,6.5,5.0,3.0,5.0,6.5,5.0,7.5
998,637758,53,1,9.1,1.8,4.2,7.1,8.4,1.2,1.7,4.3
