smiles,regression_logP
CC1(C)C(=CCO)C2CCC1C2,2.3612
CC12CCC3(CCCC(C)(C)C3C1)OC2=O,3.2985000000000024
CCC(C)C(=O)OC,1.2055
CCOC(=O)C(C)CC,1.5956
C=CCOC(=O)c1ccco1,1.6224
CCCCCCCCCCCCCC(=O)OCC,5.250600000000005
CCCCCCCCC(=O)OCC,3.3001000000000023
N#C/C=C/c1ccccc1,2.22338
CCOC(=O)CC,0.9595
C=CCCCCCCCCC(=O)OCC,3.8563000000000023
CCCCCCCCCCCC#N,4.430880000000005
CCCCCCCC1CCCC1=O,3.716100000000002
CC1=CC(C)CC(CO)C1,1.9711
C=CCc1ccc(O)c(OC)c1,2.1293
C=CCc1ccc(OC(C)=O)c(OC)c1,2.349
CC1COC(c2ccccc2)O1,2.1205
C=C(C)C1CC=C(C)C(OC(C)=O)C1,2.850500000000001
CC1CCC(C(C)(C)S)C(=O)C1,2.7001000000000013
CCCCCCCCCCC=CC=O,4.272300000000004
CCCCCCCCC/C=C/C=O,3.8822000000000023
CC(C)=CCCC(C)=CCCC(C)=CCO,4.397900000000004
C=Cc1ccc(O)c(OC)c1,2.0438
CC(=O)OC1C2(C)CCC(C2)C1(C)C,2.7643000000000013
CC(=O)OC(C)C1CCCC(C)(C)C1,3.1544000000000016
CC1(C)CCC(CO)C23C4CC(CC412)C3(C)C,3.4673000000000025
CC/C=C\CCOC(=O)C(C)=O,1.4749
CC1(C)CCC(COC=O)C23C4CC(CC412)C3(C)C,3.6480000000000015
CC(=O)OCC1CC(C)=CC(C)C1,2.541900000000001
O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-2.5823000000000005
CCc1ccc(CC(C)(C)C=O)cc1,3.0166000000000013
C=C(C)C1CC=C(C)C(O)C1,2.2797
CC1(C)CCCC2(C)C1CCC1(C)OCCC12,4.408000000000004
CC/C=C\CCOC(=O)C(C)C,2.541900000000001
CC(C)Cc1nccs1,2.341600000000001
Cc1csc(C(C)C)n1,2.5749200000000005
CCCCCc1cccc(=O)o1,2.3725000000000005
O=COC1CCCCC1,1.4921
CCOC(=O)CC1(C)OCC(C)O1,1.0911
CCCCCC1COCCC1OC(C)=O,2.5349000000000004
Cc1ccc(C=O)c(C)c1,2.11594
C=CC=CC=CCCCCC,3.865100000000002
Cc1cccc(C)n1,1.6984400000000002
O=C(Cc1ccccc1)Cc1ccccc1,3.040900000000001
CCOC(=O)CCSCc1ccco1,2.4659999999999997
CC1=C(C)C(C)CCC1,3.1428000000000016
CCCC(=O)CC(=O)OCC,1.3088
CCCCCCCCCCCCC=O,4.496300000000004
CC(C)=CCC/C(C)=C/COC=O,2.8521000000000014
CC(C)=CCCC(C)=CCOC(=O)Cc1ccccc1,4.465000000000004
CCC(=O)Oc1c(C)occc1=O,1.26362
CCC(=O)OC/C=C(\C)CCC=C(C)C,3.6323000000000025
Cc1occc(=O)c1OC(=O)C(C)C,1.50962
CCCCC/C=C/C=O,2.3218000000000005
COc1cc(C2OCC(C)O2)ccc1O,1.8347
C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,3.904200000000003
COc1ccc(C#N)cc1,1.5668799999999998
CCCC(=O)CC,1.7656
CCCCCCOC(=O)c1ccco1,3.016700000000002
Cc1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,3.725760000000003
CCCCCC(=O)OCCc1ccccc1,3.3526000000000025
COc1ccc(CC(C)=O)cc1,1.8267
CC(C)=CCC/C(C)=C/CS,3.6089000000000033
CC(=O)C(=O)OCCC(C)C,1.1647
COC(=O)c1ccccc1N=CC(C)Cc1ccc2c(c1)OCO2,3.783000000000003
CC(=O)OC(C)(C)C1CCC(C)C2=C(C1)C(C)CC2,4.490800000000005
CCCCCC/C=C/C=C/C=O,3.2681000000000022
