smiles,regression_binding_score
CCCN(CCCCN1C(=O)CC(C)(C)CC1=O)C1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,8.095
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,9.7
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)CC1COc2cccc(OC)c2C1,6.29
CCCN(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccc2ccccc2c1,5.43
CCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21,8.6
CCCN1C(C)CC2Cc3cccc(OC)c3CC21,7.1899999999999995
CCCN1C(C)CC2c3c(O)cccc3CCC21,8.4
CCCN1C(C)CC2c3c(cccc3OC)CCC21,8.4
CCCN1CC(CNCCc2c[nH]c3ccccc23)Oc2ccccc21,7.3
CCCN1CC2c3c(cccc3OC)CCC21,8.32
CCCN1CCC(COc2nc3scc(C)c3n3cccc23)CC1,5.3
CCCN1CCC2Cc3c(O)cccc3CC21,6.654000000000001
CCCN1CCC2Cc3c(cccc3OC)CC21,6.74
CCCN1CCC2c3c(O)cccc3CCC21,9.265
CCCN1CCC2c3c(ccc4ccoc34)CCC21,8.41
CCCN1CCC2c3c(cccc3C(N)=O)CCC21,8.15
CCCN1CCC2c3c(cccc3OC)CCC21,8.25
CCCN1CCC2c3cccc(O)c3CCC21,6.313333333333333
CCCN1CCC2c3cccc(OC)c3CCC21,6.786666666666666
