Test UID,Answer,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Molecule 1,Molecule 2,Molecule 3,Molecule 4,Molecule 5,Molecule 6,Molecule 7,Molecule 8,Molecule 9,Molecule 10,Molecule 11,Molecule 12,Molecule 13,Molecule 14,Molecule 15,Molecule 16,Molecule 17,Molecule 18,Molecule 19,Molecule 20,Molecule 21,Molecule 22,Molecule 23,Molecule 24,Molecule 25,Molecule 26,Molecule 27,Molecule 28,Molecule 29,Molecule 30
40,wrong,20,5,75.0,1.0,12020,6501,176,7344,7921,7583,31276,7363,5373603,7150,326,62444,637566,798,179,11509,6590,7685,7165,10882,0,0,0,0,0,0,0,0,0,0
40,wrong,20,5,75.0,0.25,12020,6501,176,7344,7921,7583,31276,7363,5373603,7150,326,62444,637566,798,179,11509,6590,7685,7165,10882,0,0,0,0,0,0,0,0,0,0
41,right,10,10,0.0,0.5,7165,1140,22386,8091,6184,7059,7363,6989,5281515,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,wrong,10,10,0.0,1.0,7519,637511,7799,16666,31272,8030,12232,176,440917,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,wrong,10,10,0.0,0.25,7519,637511,7799,16666,31272,8030,12232,176,440917,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,right,30,20,33.33,1.0,7710,7921,5373603,176,31276,4133,8025,12232,8051,3314,6982,62433,91497,261,10560,443158,10882,14286,7966,7714,8048,7150,7654,5634,12367,999,11124,7749,8148,6590
42,wrong,30,20,33.33,0.25,7710,7921,5373603,176,31276,4133,8025,12232,8051,3314,31265,443162,7600,6561,7519,8635,180,5283349,6654,10890,22873,16666,10821,8918,6989,11552,1031,12348,2758,62444
42,wrong,30,20,33.33,0.5,7710,7921,5373603,176,31276,4133,8025,12232,8051,3314,31265,443162,7600,6561,7519,8635,180,5283349,6654,10890,22873,16666,10821,8918,6989,11552,1031,12348,2758,62444
43,right,20,20,0.0,0.5,612,7714,5281515,24915,460,6561,1140,179,12741,12367,7710,10722,2879,798,22201,7793,1060,2758,7059,6501,0,0,0,0,0,0,0,0,0,0
43,wrong,20,20,0.0,1.0,10821,261,62444,7685,240,6736,62433,6054,8130,22873,1031,12348,4133,7150,637566,14286,62465,8892,7731,3776,0,0,0,0,0,0,0,0,0,0
43,wrong,20,20,0.0,0.25,10821,261,62444,7685,240,6736,62433,6054,8130,22873,1031,12348,4133,7150,637566,14286,62465,8892,7731,3776,0,0,0,0,0,0,0,0,0,0
44,right,20,20,0.0,0.5,1140,443162,999,62433,3776,326,1127,14286,8635,240,7519,12232,10976,7799,1031,7463,62336,8892,176,62465,0,0,0,0,0,0,0,0,0,0
44,wrong,20,20,0.0,0.25,31244,6989,7632,4133,177,5634,6982,2879,7460,7793,637566,31272,10722,12180,440917,24915,7749,7888,11552,7410,0,0,0,0,0,0,0,0,0,0
44,wrong,20,20,0.0,1.0,31244,6989,7632,4133,177,5634,6982,2879,7460,7793,637566,31272,10722,12180,440917,24915,7749,7888,11552,7410,0,0,0,0,0,0,0,0,0,0
