Stimulus,CID
79581,79581
79582,79582
79782,79782
79803,79803
79828,79828
79990,79990
80018,80018
80024,80024
80046,80046
80080,80080
80208,80208
80353,80353
80354,80354
80388,80388
80407,80407
80408,80408
80454,80454
80455,80455
80584,80584
80606,80606
80790,80790
80865,80865
80960,80960
81006,81006
81045,81045
81221,81221
81257,81257
81258,81258
81263,81263
81464,81464
81573,81573
81591,81591
81659,81659
81739,81739
81784,81784
81898,81898
81964,81964
82202,82202
82227,82227
82229,82229
82336,82336
82397,82397
82493,82493
82511,82511
82584,82584
82664,82664
82674,82674
82694,82694
83036,83036
83268,83268
83367,83367
83553,83553
83652,83652
83653,83653
83655,83655
83763,83763
84216,84216
84234,84234
84328,84328
84398,84398
84556,84556
84559,84559
84614,84614
84682,84682
84804,84804
84825,84825
85053,85053
85073,85073
85224,85224
85228,85228
85519,85519
85520,85520
85521,85521
85522,85522
85652,85652
85724,85724
85730,85730
85741,85741
85755,85755
85803,85803
85833,85833
85903,85903
85979,85979
86015,86015
86016,86016
86094,86094
86114,86114
86208,86208
86209,86209
86558,86558
86559,86559
86579,86579
86597,86597
86608,86608
86707,86707
86733,86733
86736,86736
86748,86748
86749,86749
86750,86750
86751,86751
86753,86753
86799,86799
86848,86848
86851,86851
86869,86869
86882,86882
87166,87166
87198,87198
87436,87436
87453,87453
87466,87466
87499,87499
87501,87501
87598,87598
87630,87630
87632,87632
87637,87637
87762,87762
87793,87793
87813,87813
87839,87839
88267,88267
88290,88290
88301,88301
88454,88454
88480,88480
88655,88655
88710,88710
88792,88792
89274,89274
89306,89306
89307,89307
89316,89316
89382,89382
89385,89385
89440,89440
89479,89479
89539,89539
89559,89559
89560,89560
89723,89723
89802,89802
90136,90136
90246,90246
90586,90586
90592,90592
90720,90720
90733,90733
90773,90773
90776,90776
90785,90785
90787,90787
90790,90790
90818,90818
90843,90843
90848,90848
90884,90884
90899,90899
90972,90972
90978,90978
90984,90984
91115,91115
91116,91116
91147,91147
91195,91195
91226,91226
91337,91337
91338,91338
91339,91339
91354,91354
91361,91361
91388,91388
91457,91457
91496,91496
91497,91497
91508,91508
91604,91604
91696,91696
91850,91850
91978,91978
92116,92116
92138,92138
92139,92139
92210,92210
92221,92221
92231,92231
92283,92283
92292,92292
92301,92301
92313,92313
92543,92543
92573,92573
92606,92606
92640,92640
92659,92659
92776,92776
92780,92780
92814,92814
92821,92821
92833,92833
92874,92874
93009,93009
93019,93019
93073,93073
93081,93081
93111,93111
93199,93199
93236,93236
93320,93320
93366,93366
93375,93375
93596,93596
93639,93639
93649,93649
93831,93831
93838,93838
93847,93847
93947,93947
93989,93989
94001,94001
94060,94060
94111,94111
94164,94164
94178,94178
94185,94185
94217,94217
94221,94221
94282,94282
94310,94310
94314,94314
94339,94339
94349,94349
94378,94378
94403,94403
94522,94522
94569,94569
94579,94579
94648,94648
94886,94886
95008,95008
95016,95016
95086,95086
95136,95136
95266,95266
95289,95289
95294,95294
95330,95330
95392,95392
95395,95395
95397,95397
95401,95401
95425,95425
95457,95457
95466,95466
95485,95485
95495,95495
95539,95539
95560,95560
95572,95572
95594,95594
95596,95596
95632,95632
95644,95644
95978,95978
96021,96021
96325,96325
97707,97707
97782,97782
97785,97785
97799,97799
97842,97842
97854,97854
97883,97883
97895,97895
97897,97897
97987,97987
98054,98054
98118,98118
98330,98330
98346,98346
98403,98403
98461,98461
98478,98478
98492,98492
98781,98781
99611,99611
99818,99818
99870,99870
100197,100197
100240,100240
100495,100495
100927,100927
100936,100936
100938,100938
100939,100939
100941,100941
100968,100968
100990,100990
101003,101003
101010,101010
101023,101023
101115,101115
101145,101145
101315,101315
101330,101330
101362,101362
101363,101363
101364,101364
101365,101365
101536,101536
101549,101549
101555,101555
101604,101604
101680,101680
101921,101921
101977,101977
101989,101989
102120,102120
102550,102550
102562,102562
102579,102579
102604,102604
102611,102611
102648,102648
102667,102667
102681,102681
102714,102714
102778,102778
102779,102779
102815,102815
102816,102816
102817,102817
102820,102820
102835,102835
102844,102844
102849,102849
102855,102855
102861,102861
102895,102895
102916,102916
102968,102968
102993,102993
